PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,ECU,IMP_ELE,,,,,,,,,,1
OperationalLife,BAU,ECU,SOIALL,,,,,,,,,,1
OperationalLife,BAU,ECU,FORBUR,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPARR,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPBAN,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPCOC,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPCOF,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPSUG,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPMAI,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPSOY,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPPAF,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPPAL,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPLEG,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPCER,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPTUB,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPFRT,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPVEG,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPFLO,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPBOV,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPBUF,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPOVE,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPCBR,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPCAM,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPCAB,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPMUL,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPPOR,,,,,,,,,,1
OperationalLife,BAU,ECU,IMPAVE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPASCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTICRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTIPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTIGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTIHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTIASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROAND,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAAND,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEAND,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMANDCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMONCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCEJCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCHOCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMORCRO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPLUPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPIEPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMAMAPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMANPAS,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMANDGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMONGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCEJGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCHOGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMORGRA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPLUHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPIEHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMAMAHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMANHUM,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMANDASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMONASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCEJASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCHOASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMORASE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPLUOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPIEOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMAMAOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMANOTI,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMANDPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMONPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCEJPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCHOPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMMORPFO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROPLU,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAPLU,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEPLU,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPFOMON,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPASMON,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMMON,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTIMON,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROPIE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAPIE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEPIE,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPFOCEJ,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPASCEJ,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMCEJ,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTICEJ,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROAMA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAAMA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEAMA,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPFOCHO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPASCHO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMCHO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTICHO,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMCROMAN,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMGRAMAN,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMASEMAN,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPFOMOR,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMPASMOR,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMHUMMOR,,,,,,,,,,1
OperationalLife,BAU,ECU,SUPCAMOTIMOR,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_FOR,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_WET,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_CROP,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_PAS,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_SET,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_OTL,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRAND,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNAND,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRPLU,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNPLU,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRMON,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNMON,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRPIE,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNPIE,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRCEJ,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNCEJ,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRAMA,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNAMA,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRCHO,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNCHO,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRMAN,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNMAN,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NPRMOR,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_NUNMOR,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_RAR,,,,,,,,,,1
OperationalLife,BAU,ECU,LU_PLA,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_ARR,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_BAN,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_COC,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_COF,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_SUG,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_MAI,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_PAF,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_SOY,,,,,,,,,,1
OperationalLife,BAU,ECU,AG_PAL,,,,,,,,,,1
