PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRELE,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRARR,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRBAN,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2010,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2011,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2012,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2013,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2014,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2015,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2016,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2017,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,ECU,,E5AGRCOC,,,2035,All,,,,,1
