PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2010,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2011,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2012,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2013,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2014,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2015,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2016,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2017,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2018,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2019,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2020,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2021,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2022,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2023,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2024,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2025,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2026,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2027,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2028,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2029,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2030,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2031,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2032,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2033,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2034,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,IMP_ELE,,,,2035,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2010,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2011,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2012,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2013,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2014,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2015,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2016,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2017,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2018,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2019,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2020,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2021,,,,,,0.0
TotalAnnualMinCapacityInvestment,BAU,ECU,SOIALL,,,,2022,,,,,,0.0
