PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCINC,ECU,IMP_ELE,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SOIALL,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,FORBUR,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPARR,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPBAN,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPCOC,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPCOF,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPSUG,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPMAI,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPSOY,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPPAF,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPPAL,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPLEG,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPCER,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPTUB,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPFRT,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPVEG,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPFLO,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPBOV,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPBUF,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPOVE,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPCBR,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPCAM,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPCAB,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPMUL,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPPOR,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,IMPAVE,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOCRO,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRACRO,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMASECRO,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMGRAPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMASEPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPASGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMASEGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPASHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMASEHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOASE,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPASASE,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMASE,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOOTI,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPASOTI,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMHUMOTI,,,,,,,,,,1
CapacityToActivityUnit,NDCINC,ECU,SUPCAMPFOAND,,,,,,,,,,1
