PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,NDCINC,,,,,,2010,All,,,,,1
Yearsplit,NDCINC,,,,,,2011,All,,,,,1
Yearsplit,NDCINC,,,,,,2012,All,,,,,1
Yearsplit,NDCINC,,,,,,2013,All,,,,,1
Yearsplit,NDCINC,,,,,,2014,All,,,,,1
Yearsplit,NDCINC,,,,,,2015,All,,,,,1
Yearsplit,NDCINC,,,,,,2016,All,,,,,1
Yearsplit,NDCINC,,,,,,2017,All,,,,,1
Yearsplit,NDCINC,,,,,,2018,All,,,,,1
Yearsplit,NDCINC,,,,,,2019,All,,,,,1
Yearsplit,NDCINC,,,,,,2020,All,,,,,1
Yearsplit,NDCINC,,,,,,2021,All,,,,,1
Yearsplit,NDCINC,,,,,,2022,All,,,,,1
Yearsplit,NDCINC,,,,,,2023,All,,,,,1
Yearsplit,NDCINC,,,,,,2024,All,,,,,1
Yearsplit,NDCINC,,,,,,2025,All,,,,,1
Yearsplit,NDCINC,,,,,,2026,All,,,,,1
Yearsplit,NDCINC,,,,,,2027,All,,,,,1
Yearsplit,NDCINC,,,,,,2028,All,,,,,1
Yearsplit,NDCINC,,,,,,2029,All,,,,,1
Yearsplit,NDCINC,,,,,,2030,All,,,,,1
Yearsplit,NDCINC,,,,,,2031,All,,,,,1
Yearsplit,NDCINC,,,,,,2032,All,,,,,1
Yearsplit,NDCINC,,,,,,2033,All,,,,,1
Yearsplit,NDCINC,,,,,,2034,All,,,,,1
Yearsplit,NDCINC,,,,,,2035,All,,,,,1
