PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,ECU,IMP_ELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SOIALL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,FORBUR,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPARR,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPBAN,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPCOC,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPCOF,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPSUG,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPMAI,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPSOY,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPPAF,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPPAL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPLEG,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPCER,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPTUB,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPFRT,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPVEG,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPFLO,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPBOV,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPBUF,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPOVE,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPCBR,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPCAM,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPCAB,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPMUL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPPOR,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,IMPAVE,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMPFOCRO,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMGRACRO,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMASECRO,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMPFOPAS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMGRAPAS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMASEPAS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMPFOGRA,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMPASGRA,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMASEGRA,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMPFOHUM,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMPASHUM,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SUPCAMASEHUM,,,,,,,,,,1
