PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,BAU,,,,,,2010,All,,,,,1
YearSplit,BAU,,,,,,2011,All,,,,,1
YearSplit,BAU,,,,,,2012,All,,,,,1
YearSplit,BAU,,,,,,2013,All,,,,,1
YearSplit,BAU,,,,,,2014,All,,,,,1
YearSplit,BAU,,,,,,2015,All,,,,,1
YearSplit,BAU,,,,,,2016,All,,,,,1
YearSplit,BAU,,,,,,2017,All,,,,,1
YearSplit,BAU,,,,,,2018,All,,,,,1
YearSplit,BAU,,,,,,2019,All,,,,,1
YearSplit,BAU,,,,,,2020,All,,,,,1
YearSplit,BAU,,,,,,2021,All,,,,,1
YearSplit,BAU,,,,,,2022,All,,,,,1
YearSplit,BAU,,,,,,2023,All,,,,,1
YearSplit,BAU,,,,,,2024,All,,,,,1
YearSplit,BAU,,,,,,2025,All,,,,,1
YearSplit,BAU,,,,,,2026,All,,,,,1
YearSplit,BAU,,,,,,2027,All,,,,,1
YearSplit,BAU,,,,,,2028,All,,,,,1
YearSplit,BAU,,,,,,2029,All,,,,,1
YearSplit,BAU,,,,,,2030,All,,,,,1
YearSplit,BAU,,,,,,2031,All,,,,,1
YearSplit,BAU,,,,,,2032,All,,,,,1
YearSplit,BAU,,,,,,2033,All,,,,,1
YearSplit,BAU,,,,,,2034,All,,,,,1
YearSplit,BAU,,,,,,2035,All,,,,,1
