PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDCCON,ECU,IMP_ELE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SOIALL,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,FORBUR,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPARR,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPBAN,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPCOC,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPCOF,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPSUG,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPMAI,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPSOY,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPPAF,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPPAL,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPLEG,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPCER,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPTUB,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPFRT,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPVEG,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPFLO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPBOV,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPBUF,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPOVE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPCBR,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPCAM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPCAB,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPMUL,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPPOR,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,IMPAVE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOCRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMGRACRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMASECRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMGRAPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMASEPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPASGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMASEGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPASHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMASEHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOASE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPASASE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMHUMASE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOOTI,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPASOTI,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMHUMOTI,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPFOAND,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPASAND,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMHUMAND,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMOTIAND,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPASPFO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMHUMPFO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMOTIPFO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPLUCRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPIECRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMAMACRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMANCRO,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMANDPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMONPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMCEJPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMCHOPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMORPAS,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPLUGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPIEGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMAMAGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMANGRA,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMANDHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMONHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMCEJHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMCHOHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMORHUM,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPLUASE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMPIEASE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMAMAASE,,,,,,,,,,1
CapacityToActivityUnit,NDCCON,ECU,SUPCAMMANASE,,,,,,,,,,1
