PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2010,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2011,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2012,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2013,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2014,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2015,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2016,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2017,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2018,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2019,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2020,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2021,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2022,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2023,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2024,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2025,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2026,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2027,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2028,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2029,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2030,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2031,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2032,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2033,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2034,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVGAN,,CO2e_GAN_FERM,1,2035,,,,,,2.0125
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2010,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2011,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2012,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2013,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2014,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2015,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2016,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2017,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2018,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2019,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2020,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2021,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2022,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2023,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2024,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2025,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2026,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2027,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2028,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2029,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2030,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2031,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2032,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2033,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2034,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVVACGAN,,CO2e_GAN_FERM,1,2035,,,,,,2.37975
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2010,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2011,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2012,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2013,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2014,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2015,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2016,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2017,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2018,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2019,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2020,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2021,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2022,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2023,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2024,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2025,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2026,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2027,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2028,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2029,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2030,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2031,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2032,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2033,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2034,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVCREGAN,,CO2e_GAN_FERM,1,2035,,,,,,1.3095
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2010,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2011,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2012,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2013,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2014,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2015,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2016,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2017,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2018,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2019,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2020,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2021,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2022,,,,,,2.7982
EmissionActivityRatio,NDCCON,ECU,T5BOVLECGAN,,CO2e_GAN_FERM,1,2023,,,,,,2.7982
