PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2010,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2011,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2012,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2013,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2014,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2015,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2016,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2017,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2018,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2019,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2020,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2021,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2022,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2023,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2024,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2025,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2026,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2027,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2028,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2029,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2030,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2031,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2032,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2033,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2034,,,,,,-3.3825202
EmissionsPenalty,NDCCON,ECU,,,EXT_REGAIR,,2035,,,,,,-3.3825202
