PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDCCON,,,,,,2010,All,,,,,1
YearSplit,NDCCON,,,,,,2011,All,,,,,1
YearSplit,NDCCON,,,,,,2012,All,,,,,1
YearSplit,NDCCON,,,,,,2013,All,,,,,1
YearSplit,NDCCON,,,,,,2014,All,,,,,1
YearSplit,NDCCON,,,,,,2015,All,,,,,1
YearSplit,NDCCON,,,,,,2016,All,,,,,1
YearSplit,NDCCON,,,,,,2017,All,,,,,1
YearSplit,NDCCON,,,,,,2018,All,,,,,1
YearSplit,NDCCON,,,,,,2019,All,,,,,1
YearSplit,NDCCON,,,,,,2020,All,,,,,1
YearSplit,NDCCON,,,,,,2021,All,,,,,1
YearSplit,NDCCON,,,,,,2022,All,,,,,1
YearSplit,NDCCON,,,,,,2023,All,,,,,1
YearSplit,NDCCON,,,,,,2024,All,,,,,1
YearSplit,NDCCON,,,,,,2025,All,,,,,1
YearSplit,NDCCON,,,,,,2026,All,,,,,1
YearSplit,NDCCON,,,,,,2027,All,,,,,1
YearSplit,NDCCON,,,,,,2028,All,,,,,1
YearSplit,NDCCON,,,,,,2029,All,,,,,1
YearSplit,NDCCON,,,,,,2030,All,,,,,1
YearSplit,NDCCON,,,,,,2031,All,,,,,1
YearSplit,NDCCON,,,,,,2032,All,,,,,1
YearSplit,NDCCON,,,,,,2033,All,,,,,1
YearSplit,NDCCON,,,,,,2034,All,,,,,1
YearSplit,NDCCON,,,,,,2035,All,,,,,1
