PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2010,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2011,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2012,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2013,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2014,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2015,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2016,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2017,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2018,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2019,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2020,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2021,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2022,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2023,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2024,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2025,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2026,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2027,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2028,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2029,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2030,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2031,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2032,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2033,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2034,,,,,,9999
AnnualEmissionLimit,NDCINC,ECU,,,CO2e_GAN_FERM,,2035,,,,,,9999
