PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDCINC,,,,,,2010,All,,,,,1
YearSplit,NDCINC,,,,,,2011,All,,,,,1
YearSplit,NDCINC,,,,,,2012,All,,,,,1
YearSplit,NDCINC,,,,,,2013,All,,,,,1
YearSplit,NDCINC,,,,,,2014,All,,,,,1
YearSplit,NDCINC,,,,,,2015,All,,,,,1
YearSplit,NDCINC,,,,,,2016,All,,,,,1
YearSplit,NDCINC,,,,,,2017,All,,,,,1
YearSplit,NDCINC,,,,,,2018,All,,,,,1
YearSplit,NDCINC,,,,,,2019,All,,,,,1
YearSplit,NDCINC,,,,,,2020,All,,,,,1
YearSplit,NDCINC,,,,,,2021,All,,,,,1
YearSplit,NDCINC,,,,,,2022,All,,,,,1
YearSplit,NDCINC,,,,,,2023,All,,,,,1
YearSplit,NDCINC,,,,,,2024,All,,,,,1
YearSplit,NDCINC,,,,,,2025,All,,,,,1
YearSplit,NDCINC,,,,,,2026,All,,,,,1
YearSplit,NDCINC,,,,,,2027,All,,,,,1
YearSplit,NDCINC,,,,,,2028,All,,,,,1
YearSplit,NDCINC,,,,,,2029,All,,,,,1
YearSplit,NDCINC,,,,,,2030,All,,,,,1
YearSplit,NDCINC,,,,,,2031,All,,,,,1
YearSplit,NDCINC,,,,,,2032,All,,,,,1
YearSplit,NDCINC,,,,,,2033,All,,,,,1
YearSplit,NDCINC,,,,,,2034,All,,,,,1
YearSplit,NDCINC,,,,,,2035,All,,,,,1
