Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,SOIALL,,2010,,70.5816,70.5816,70.5816,70.5816,,,70.5816,70.5816,,,141.163,137.761,70.5816,70.5816,208.343,,,,,,,,,,,,,147.5748,147.5748,147.5748,295.1492,,0.000980359434290704,0.000980359434290704,0.000980359434290704,0.001960716090635217,
BAU,0,,SOIALL,,2011,,71.7426,71.7426,71.7426,71.7426,,,71.7426,68.3263,,,143.485,133.359,71.7426,71.7426,201.686,,,,,,,,,,,,,142.8049,142.8049,142.8049,285.6094,,0.000967461564978736,0.000967461564978736,0.000967461564978736,0.0019349204329223355,
BAU,0,,SOIALL,,2012,,73.2933,73.2933,73.2933,73.2933,,,73.2933,66.4791,,,146.587,129.754,73.2933,73.2933,196.233,,,,,,,,,,,,,138.8915,138.8915,138.8915,277.7837,,0.000959585463020265,0.000959585463020265,0.000959585463020265,0.00191917616300196,
BAU,0,,SOIALL,,2013,,76.5789,76.5789,76.5789,76.5789,,,76.5789,66.1517,,,153.158,129.115,76.5789,76.5789,195.267,,,,,,,,,,,,,138.1547,138.1547,138.1547,276.3098,,0.0009733998681647807,0.0009733998681647807,0.0009733998681647807,0.0019468022785438478,
BAU,0,,SOIALL,,2014,,78.1224,78.1224,78.1224,78.1224,,,78.1224,64.2715,,,156.245,125.445,78.1224,78.1224,189.717,,,,,,,,,,,,,134.1768,134.1768,134.1768,268.3539,,0.000964096511574467,0.000964096511574467,0.000964096511574467,0.0019281954913181445,
BAU,0,,SOIALL,,2015,,73.261,73.261,73.261,73.261,,,73.261,57.4019,,,146.522,112.037,73.261,73.261,169.439,,,,,,,,,,,,,119.7898,119.7898,119.7898,239.5797,,0.0008777696335724829,0.0008777696335724829,0.0008777696335724829,0.0017555392671449658,
BAU,0,,SOIALL,,2016,,66.8974,66.8974,66.8974,66.8974,,,66.8974,49.9199,,,133.795,97.4336,66.8974,66.8974,147.353,,,,,,,,,,,,,104.1362,104.1362,104.1362,208.2727,,0.0007781793898070222,0.0007781793898070222,0.0007781793898070222,0.001556361106100245,
BAU,0,,SOIALL,,2017,,68.9875,68.9875,68.9875,68.9875,,,68.9875,49.0281,,,137.975,95.693,68.9875,68.9875,144.721,,,,,,,,,,,,,102.237,102.237,102.237,204.474,,0.0007791187707254696,0.0007791187707254696,0.0007791187707254696,0.0015582375414509393,
BAU,0,,SOIALL,,2018,,70.4619,70.4619,70.4619,70.4619,,,70.4619,47.6914,,,140.924,93.0841,70.4619,70.4619,140.775,,,,,,,,,,,,,99.4117,99.4117,99.4117,198.8236,,0.0007725923179551801,0.0007725923179551801,0.0007725923179551801,0.0015451868288467356,
BAU,0,,SOIALL,,2019,,75.5848,75.5848,75.5848,75.5848,,,75.5848,48.7226,,,151.17,95.0968,75.5848,75.5848,143.819,,,,,,,,,,,,,101.5226,101.5226,101.5226,203.0457,,0.0008046245502362268,0.0008046245502362268,0.0008046245502362268,0.0016092533586013378,
