Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
NDCINC,0,,SOIALL,,2010,,70.585,70.585,70.585,70.585,,,70.585,70.585,,,141.17,137.768,70.585,70.585,208.353,,,,,,,,,,,,,147.5819,147.5819,147.5819,295.1638,,0.000980406659375947,0.000980406659375947,0.000980406659375947,0.001960813318751894,
NDCINC,0,,SOIALL,,2011,,71.7456,71.7456,71.7456,71.7456,,,71.7456,68.3292,,,143.491,133.365,71.7456,71.7456,201.694,,,,,,,,,,,,,142.8109,142.8109,142.8109,285.6213,,0.000967502020505786,0.000967502020505786,0.000967502020505786,0.0019350013439764354,
NDCINC,0,,SOIALL,,2012,,73.2959,73.2959,73.2959,73.2959,,,73.2959,66.4815,,,146.592,129.759,73.2959,73.2959,196.24,,,,,,,,,,,,,138.8964,138.8964,138.8964,277.7932,,0.0009596195032695627,0.0009596195032695627,0.0009596195032695627,0.0019192416250198407,
NDCINC,0,,SOIALL,,2013,,76.5831,76.5831,76.5831,76.5831,,,76.5831,66.1553,,,153.166,129.122,76.5831,76.5831,195.277,,,,,,,,,,,,,138.1623,138.1623,138.1623,276.3242,,0.0009734532546647995,0.0009734532546647995,0.0009734532546647995,0.0019469039671153124,
NDCINC,0,,SOIALL,,2014,,78.1282,78.1282,78.1282,78.1282,,,78.1282,64.2763,,,156.256,125.454,78.1282,78.1282,189.731,,,,,,,,,,,,,134.1868,134.1868,134.1868,268.3728,,0.0009641680884815659,0.0009641680884815659,0.0009641680884815659,0.001928331240624711,
NDCINC,0,,SOIALL,,2015,,73.2637,73.2637,73.2637,73.2637,,,73.2637,57.404,,,146.527,112.041,73.2637,73.2637,169.445,,,,,,,,,,,,,119.7943,119.7943,119.7943,239.5878,,0.0008778019833631034,0.0008778019833631034,0.0008778019833631034,0.0017555991741646333,
NDCINC,0,,SOIALL,,2016,,66.8968,66.8968,66.8968,66.8968,,,66.8968,49.9194,,,133.794,97.4327,66.8968,66.8968,147.352,,,,,,,,,,,,,104.1352,104.1352,104.1352,208.2711,,0.0007781724103484201,0.0007781724103484201,0.0007781724103484201,0.0015563494736692417,
NDCINC,0,,SOIALL,,2017,,68.9872,68.9872,68.9872,68.9872,,,68.9872,49.0279,,,137.974,95.6927,68.9872,68.9872,144.721,,,,,,,,,,,,,102.2366,102.2366,102.2366,204.4725,,0.0007791153826387697,0.0007791153826387697,0.0007791153826387697,0.001558226247828606,
NDCINC,0,,SOIALL,,2018,,70.4619,70.4619,70.4619,70.4619,,,70.4619,47.6914,,,140.924,93.084,70.4619,70.4619,140.775,,,,,,,,,,,,,99.4117,99.4117,99.4117,198.8236,,0.0007725923179551801,0.0007725923179551801,0.0007725923179551801,0.0015451868288467356,
NDCINC,0,,SOIALL,,2019,,75.5848,75.5848,75.5848,75.5848,,,75.5848,48.7226,,,151.17,95.0969,75.5848,75.5848,143.82,,,,,,,,,,,,,101.5226,101.5226,101.5226,203.0457,,0.0008046245502362268,0.0008046245502362268,0.0008046245502362268,0.0016092533586013378,
NDCINC,0,,SOIALL,,2020,,62.6362,62.6362,62.6362,62.6362,,,62.6362,38.4532,,,125.272,75.053,62.6362,62.6362,113.506,,,,,,,,,,,,,80.0938,80.0938,80.0938,160.1871,,0.0006473616806387532,0.0006473616806387532,0.0006473616806387532,0.0012947192271717935,
NDCINC,0,,SOIALL,,2021,,75.3368,75.3368,75.3368,75.3368,,,75.3368,44.0479,,,150.674,85.9726,75.3368,75.3368,130.02,,,,,,,,,,,,,91.712,91.712,91.712,183.4244,,0.0007559473186237695,0.0007559473186237695,0.0007559473186237695,0.0015118986509424061,
