,Parameter,REGION,MODE_OF_OPERATION,TECHNOLOGY,FUEL,EMISSION,YEAR,TIMESLICE,VALUE
0,AccumulatedNewCapacity,CR,,DIST_DSL,,,2018.0,,41.87096993003235
1,AccumulatedNewCapacity,CR,,DIST_DSL,,,2019.0,,41.40342991580872
2,AccumulatedNewCapacity,CR,,DIST_DSL,,,2020.0,,37.00212186182796
3,AccumulatedNewCapacity,CR,,DIST_DSL,,,2021.0,,39.091629700000006
4,AccumulatedNewCapacity,CR,,DIST_DSL,,,2022.0,,41.240835159472304
5,AccumulatedNewCapacity,CR,,DIST_DSL,,,2023.0,,40.416508663692056
6,AccumulatedNewCapacity,CR,,DIST_DSL,,,2024.0,,39.67423634633164
7,AccumulatedNewCapacity,CR,,DIST_DSL,,,2025.0,,38.844585355440586
8,AccumulatedNewCapacity,CR,,DIST_DSL,,,2026.0,,37.14844162005378
9,AccumulatedNewCapacity,CR,,DIST_DSL,,,2027.0,,36.16595235290256
10,AccumulatedNewCapacity,CR,,DIST_DSL,,,2028.0,,35.20759664121995
11,AccumulatedNewCapacity,CR,,DIST_DSL,,,2029.0,,34.221350194307526
12,AccumulatedNewCapacity,CR,,DIST_DSL,,,2030.0,,32.67570600385109
13,AccumulatedNewCapacity,CR,,DIST_DSL,,,2031.0,,31.896585724982256
14,AccumulatedNewCapacity,CR,,DIST_DSL,,,2032.0,,31.0394647694612
15,AccumulatedNewCapacity,CR,,DIST_DSL,,,2033.0,,29.74291707115455
16,AccumulatedNewCapacity,CR,,DIST_DSL,,,2034.0,,28.050229151802125
17,AccumulatedNewCapacity,CR,,DIST_DSL,,,2035.0,,26.101999932472005
18,AccumulatedNewCapacity,CR,,DIST_DSL,,,2036.0,,24.296532255797214
19,AccumulatedNewCapacity,CR,,DIST_DSL,,,2037.0,,22.53120049055708
20,AccumulatedNewCapacity,CR,,DIST_DSL,,,2038.0,,19.579367453562377
21,AccumulatedNewCapacity,CR,,DIST_DSL,,,2039.0,,16.600847112361112
22,AccumulatedNewCapacity,CR,,DIST_DSL,,,2040.0,,14.59640590029466
23,AccumulatedNewCapacity,CR,,DIST_DSL,,,2041.0,,12.266995181731286
24,AccumulatedNewCapacity,CR,,DIST_DSL,,,2042.0,,10.894055249551322
25,AccumulatedNewCapacity,CR,,DIST_DSL,,,2043.0,,9.907678475109776
26,AccumulatedNewCapacity,CR,,DIST_DSL,,,2044.0,,9.104047767782994
27,AccumulatedNewCapacity,CR,,DIST_DSL,,,2045.0,,8.39772196728116
28,AccumulatedNewCapacity,CR,,DIST_DSL,,,2046.0,,7.779983575905232
29,AccumulatedNewCapacity,CR,,DIST_DSL,,,2047.0,,7.158013480334254
30,AccumulatedNewCapacity,CR,,DIST_DSL,,,2048.0,,6.830735858482673
31,AccumulatedNewCapacity,CR,,DIST_DSL,,,2049.0,,6.553476837911198
32,AccumulatedNewCapacity,CR,,DIST_DSL,,,2050.0,,6.2274988457494285
33,AccumulatedNewCapacity,CR,,DIST_GSL,,,2018.0,,41.58767322
34,AccumulatedNewCapacity,CR,,DIST_GSL,,,2019.0,,43.02150771
35,AccumulatedNewCapacity,CR,,DIST_GSL,,,2020.0,,33.41172868
36,AccumulatedNewCapacity,CR,,DIST_GSL,,,2021.0,,37.461439760000005
37,AccumulatedNewCapacity,CR,,DIST_GSL,,,2022.0,,41.86970926933333
38,AccumulatedNewCapacity,CR,,DIST_GSL,,,2023.0,,41.87955988416798
39,AccumulatedNewCapacity,CR,,DIST_GSL,,,2024.0,,41.85105642145736
40,AccumulatedNewCapacity,CR,,DIST_GSL,,,2025.0,,41.723082033880985
41,AccumulatedNewCapacity,CR,,DIST_GSL,,,2026.0,,41.632056605278194
42,AccumulatedNewCapacity,CR,,DIST_GSL,,,2027.0,,41.616419550607375
43,AccumulatedNewCapacity,CR,,DIST_GSL,,,2028.0,,41.62423007935029
44,AccumulatedNewCapacity,CR,,DIST_GSL,,,2029.0,,41.49652691516536
45,AccumulatedNewCapacity,CR,,DIST_GSL,,,2030.0,,41.24946769880976
46,AccumulatedNewCapacity,CR,,DIST_GSL,,,2031.0,,41.42952485764873
47,AccumulatedNewCapacity,CR,,DIST_GSL,,,2032.0,,41.1363874698954
48,AccumulatedNewCapacity,CR,,DIST_GSL,,,2033.0,,40.45260887436143
49,AccumulatedNewCapacity,CR,,DIST_GSL,,,2034.0,,38.90407309638386
50,AccumulatedNewCapacity,CR,,DIST_GSL,,,2035.0,,36.705796382315
