,REGION,MODE_OF_OPERATION,TECHNOLOGY,FUEL,EMISSION,YEAR,TIMESLICE,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
0,CR,,DIST_DSL,,,2018.0,,41.87096993003235,,93.74491457634944,,,555.5775258076133,,,,,41.87096993003235,,,,,,,,,,41.87096993003235,,41.87096993003235,,
1,CR,,DIST_DSL,,,2019.0,,41.40342991580872,,93.2736469143339,,,493.61997214225465,,,,,41.40342991580872,,,,,,,,,,41.40342991580872,,41.40342991580872,,
2,CR,,DIST_DSL,,,2020.0,,37.00212186182796,,89.88925463893865,,,314.950960651321,,,,,37.00212186182796,,,,,,,,,,37.00212186182796,,37.00212186182796,,
3,CR,,DIST_DSL,,,2021.0,,39.091629700000006,,96.77132932235,,,466.05822760934007,,,,,39.091629700000006,,,,,,,,,,39.091629700000006,,39.091629700000006,,
4,CR,,DIST_DSL,,,2022.0,,41.240835159472304,,104.03000668976888,,,508.6850812745112,,,,,41.240835159472304,,,,,,,,,,41.240835159472304,,41.240835159472304,,
5,CR,,DIST_DSL,,,2023.0,,40.416508663692056,,103.51072033858172,,,502.0579122712491,,,,,40.416508663692056,,,,,,,,,,40.416508663692056,,40.416508663692056,,
6,CR,,DIST_DSL,,,2024.0,,39.67423634633164,,103.14111222955836,,,496.31279442170495,,,,,39.67423634633164,,,,,,,,,,39.67423634633164,,39.67423634633164,,
7,CR,,DIST_DSL,,,2025.0,,38.844585355440586,,102.4836695432589,,,489.33301063955616,,,,,38.844585355440586,,,,,,,,,,38.844585355440586,,38.844585355440586,,
8,CR,,DIST_DSL,,,2026.0,,37.14844162005378,,99.44266337272198,,,471.22055226205833,,,,,37.14844162005378,,,,,,,,,,37.14844162005378,,37.14844162005378,,
9,CR,,DIST_DSL,,,2027.0,,36.16595235290256,,98.20864361430688,,,461.9260098322126,,,,,36.16595235290256,,,,,,,,,,36.16595235290256,,36.16595235290256,,
10,CR,,DIST_DSL,,,2028.0,,35.20759664121995,,96.96172114991974,,,452.76969280608847,,,,,35.20759664121995,,,,,,,,,,35.20759664121995,,35.20759664121995,,
11,CR,,DIST_DSL,,,2029.0,,34.221350194307526,,95.5665425526232,,,443.08435377581606,,,,,34.221350194307526,,,,,,,,,,34.221350194307526,,34.221350194307526,,
12,CR,,DIST_DSL,,,2030.0,,32.67570600385109,,92.5114588381032,,,425.93436290139965,,,,,32.67570600385109,,,,,,,,,,32.67570600385109,,32.67570600385109,,
13,CR,,DIST_DSL,,,2031.0,,31.896585724982256,,91.53682171355408,,,418.5725151517972,,,,,31.896585724982256,,,,,,,,,,31.896585724982256,,31.896585724982256,,
14,CR,,DIST_DSL,,,2032.0,,31.0394647694612,,90.27517933550097,,,410.04064144401326,,,,,31.0394647694612,,,,,,,,,,31.0394647694612,,31.0394647694612,,
15,CR,,DIST_DSL,,,2033.0,,29.74291707115455,,87.65237660869246,,,395.5183369205061,,,,,29.74291707115455,,,,,,,,,,29.74291707115455,,29.74291707115455,,
16,CR,,DIST_DSL,,,2034.0,,28.050229151802125,,83.74676415562041,,,375.46634231144736,,,,,28.050229151802125,,,,,,,,,,28.050229151802125,,28.050229151802125,,
17,CR,,DIST_DSL,,,2035.0,,26.101999932472005,,78.93766819578184,,,351.67485529018853,,,,,26.101999932472005,,,,,,,,,,26.101999932472005,,26.101999932472005,,
18,CR,,DIST_DSL,,,2036.0,,24.296532255797214,,74.41541899305571,,,329.4779849611893,,,,,24.296532255797214,,,,,,,,,,24.296532255797214,,24.296532255797214,,
19,CR,,DIST_DSL,,,2037.0,,22.53120049055708,,69.87826520141371,,,307.51258365527013,,,,,22.53120049055708,,,,,,,,,,22.53120049055708,,22.53120049055708,,
20,CR,,DIST_DSL,,,2038.0,,19.579367453562377,,61.477255867440505,,,268.9382754686421,,,,,19.579367453562377,,,,,,,,,,19.579367453562377,,19.579367453562377,,
21,CR,,DIST_DSL,,,2039.0,,16.600847112361112,,52.765792546639794,,,229.4801499730126,,,,,16.600847112361112,,,,,,,,,,16.600847112361112,,16.600847112361112,,
22,CR,,DIST_DSL,,,2040.0,,14.59640590029466,,46.95809742183794,,,203.050602478999,,,,,14.59640590029466,,,,,,,,,,14.59640590029466,,14.59640590029466,,
23,CR,,DIST_DSL,,,2041.0,,12.266995181731286,,39.93765621316256,,,171.72075875098358,,,,,12.266995181731286,,,,,,,,,,12.266995181731286,,12.266995181731286,,
