PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,CR,PPHDAM,,,,2018,All,,,,,0.3265
CapacityFactor,BAU,CR,PPHDAM,,,,2019,All,,,,,0.18
CapacityFactor,BAU,CR,PPHDAM,,,,2020,All,,,,,0.2354
CapacityFactor,BAU,CR,PPHDAM,,,,2021,All,,,,,0.274
CapacityFactor,BAU,CR,PPHDAM,,,,2022,All,,,,,0.2669
CapacityFactor,BAU,CR,PPHDAM,,,,2023,All,,,,,0.2117
CapacityFactor,BAU,CR,PPHDAM,,,,2024,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2025,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2026,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2027,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2028,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2029,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2030,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2031,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2032,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2033,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2034,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2035,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2036,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2037,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2038,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2039,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2040,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2041,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2042,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2043,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2044,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2045,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2046,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2047,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2048,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2049,All,,,,,0.3
CapacityFactor,BAU,CR,PPHDAM,,,,2050,All,,,,,0.3
CapacityFactor,BAU,CR,PPHROR,,,,2018,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2019,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2020,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2021,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2022,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2023,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2024,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2025,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2026,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2027,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2028,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2029,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2030,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2031,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2032,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2033,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2034,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2035,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2036,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2037,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2038,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2039,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2040,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2041,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2042,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2043,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2044,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2045,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2046,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2047,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2048,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2049,All,,,,,0.5
CapacityFactor,BAU,CR,PPHROR,,,,2050,All,,,,,0.5
CapacityFactor,BAU,CR,PPGEO,,,,2018,All,,,,,0.8695
