PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,JAM,PPHDAM,,,,2021,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2022,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2023,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2024,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2025,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2026,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2027,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2028,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2029,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2030,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2031,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2032,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2033,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2034,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2035,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2036,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2037,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2038,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2039,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2040,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2041,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2042,,,,,,3007.7097
CapitalCost,BAU,JAM,PPHDAM,,,,2043,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2044,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2045,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2046,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2047,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2048,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2049,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2050,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2051,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2052,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2053,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2054,,,,,,2887.188
CapitalCost,BAU,JAM,PPHDAM,,,,2055,,,,,,2887.188
CapitalCost,BAU,JAM,PPHROR,,,,2021,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2022,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2023,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2024,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2025,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2026,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2027,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2028,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2029,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2030,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2031,,,,,,7436.0822
CapitalCost,BAU,JAM,PPHROR,,,,2032,,,,,,7436.0822
