PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,RD,PPHDAM,,,1,2018,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2019,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2020,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2021,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2022,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2023,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2024,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2025,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2026,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2027,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2028,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2029,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2030,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2031,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2032,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2033,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2034,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2035,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2036,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2037,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2038,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2039,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2040,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2041,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2042,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2043,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2044,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2045,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2046,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2047,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2048,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2049,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,1,2050,,,,,,85.0
FixedCost,BAU,RD,PPHROR,,,1,2018,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,1,2019,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,1,2020,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,1,2021,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,1,2022,,,,,,50.0
