PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,DIST_CRU,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_NGS,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_DSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_GSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_LPG,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_FOI,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_COK,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_KER,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_COA,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMP_ELE,,,,,,,,,,1.0
OperationalLife,BAU,CR,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,BAU,CR,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,BAU,CR,PPHDAM,,,,,,,,,,50.0
OperationalLife,BAU,CR,PPHROR,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPGEO,,,,,,,,,,50.0
OperationalLife,BAU,CR,PPWNDON,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPWNDOFF,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPPVT,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPPVTHYD,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPPVTS,,,,,,,,,,20.0
OperationalLife,BAU,CR,PPPVD,,,,,,,,,,25.0
OperationalLife,BAU,CR,PPPVDS,,,,,,,,,,15.0
OperationalLife,BAU,CR,DIST_FIR,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_BIM,,,,,,,,,,1.0
OperationalLife,BAU,CR,DIST_BGS,,,,,,,,,,1.0
OperationalLife,BAU,CR,SOIALL,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPRIC,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPBAN,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPSGC,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPCOC,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPTRVEG,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPCAF,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPLEG,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPROT,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPFRT,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPCER,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPOTP,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPLEC,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPCARAVI,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPCARBOV,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPCARPOR,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMPOTRCAR,,,,,,,,,,100.0
OperationalLife,BAU,CR,INORG_RCY_OS,,,,,,,,,,100.0
OperationalLife,BAU,CR,AD,,,,,,,,,,20.0
OperationalLife,BAU,CR,COMPOST,,,,,,,,,,20.0
OperationalLife,BAU,CR,LANDFILL,,,,,,,,,,30.0
OperationalLife,BAU,CR,NO_CONTR_OD,,,,,,,,,,20.0
OperationalLife,BAU,CR,COPROC,,,,,,,,,,20.0
OperationalLife,BAU,CR,INCIN,,,,,,,,,,20.0
OperationalLife,BAU,CR,OPEN_BURN,,,,,,,,,,20.0
OperationalLife,BAU,CR,SIT_CLAN,,,,,,,,,,20.0
OperationalLife,BAU,CR,AERO_PTAR,,,,,,,,,,20.0
OperationalLife,BAU,CR,AERO_PTAR_RU,,,,,,,,,,20.0
OperationalLife,BAU,CR,ANAE_LAGN,,,,,,,,,,20.0
OperationalLife,BAU,CR,ANAE_LAGN_RU,,,,,,,,,,20.0
OperationalLife,BAU,CR,SEPT_SYST,,,,,,,,,,20.0
OperationalLife,BAU,CR,LATR,,,,,,,,,,20.0
OperationalLife,BAU,CR,EFLT_DISC,,,,,,,,,,100.0
OperationalLife,BAU,CR,SEWER_NO_T,,,,,,,,,,100.0
OperationalLife,BAU,CR,RAW_MAT_CLK,,,,,,,,,,100.0
OperationalLife,BAU,CR,RAW_MAT_CEM,,,,,,,,,,100.0
OperationalLife,BAU,CR,IMP_STOR,,,,,,,,,,100.0
OperationalLife,BAU,CR,REF_DSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,REF_GSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,REF_LPG,,,,,,,,,,1.0
OperationalLife,BAU,CR,REF_FOI,,,,,,,,,,1.0
OperationalLife,BAU,CR,PPBIM,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPBGS,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPCOA,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPCCTDSL,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPCCFOIDSL,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPCCTNGS,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPCCTNGSDSL,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPICEFOI,,,,,,,,,,30.0
OperationalLife,BAU,CR,PPICEGASFOI,,,,,,,,,,30.0
OperationalLife,BAU,CR,ELE_TRANS,,,,,,,,,,60.0
OperationalLife,BAU,CR,HYD_G_PROD,,,,,,,,,,20.0
OperationalLife,BAU,CR,ELE_DIST,,,,,,,,,,60.0
OperationalLife,BAU,CR,HYD_DIST,,,,,,,,,,15.0
OperationalLife,BAU,CR,LU_FOR,,,,,,,,,,1.0
OperationalLife,BAU,CR,LU_AGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,LU_GAN,,,,,,,,,,1.0
OperationalLife,BAU,CR,LU_LATHUM,,,,,,,,,,1.0
OperationalLife,BAU,CR,LU_DCON,,,,,,,,,,1.0
OperationalLife,BAU,CR,LU_WET,,,,,,,,,,1.0
OperationalLife,BAU,CR,LU_DRY,,,,,,,,,,1.0
OperationalLife,BAU,CR,AG_RIC,,,,,,,,,,1.0
OperationalLife,BAU,CR,AG_BAN,,,,,,,,,,1.0
OperationalLife,BAU,CR,AG_SGC,,,,,,,,,,1.0
