PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2018,,,,,,15.4447
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2019,,,,,,16.2621
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2020,,,,,,15.0342
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2021,,,,,,16.973
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2022,,,,,,18.0572
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2023,,,,,,18.3238
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2024,,,,,,18.9144
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2025,,,,,,19.5054
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2026,,,,,,20.0627
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2027,,,,,,20.6272
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2028,,,,,,21.2247
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2029,,,,,,21.7989
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2030,,,,,,22.3696
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2031,,,,,,22.8862
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2032,,,,,,23.4117
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2033,,,,,,23.9463
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2034,,,,,,24.4901
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2035,,,,,,25.0432
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2036,,,,,,25.5093
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2037,,,,,,25.982
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2038,,,,,,26.4612
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2039,,,,,,26.9471
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2040,,,,,,27.4397
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2041,,,,,,27.8396
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2042,,,,,,28.2439
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2043,,,,,,28.6527
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2044,,,,,,29.0659
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2045,,,,,,29.4835
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2046,,,,,,29.8077
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2047,,,,,,30.1346
TotalAnnualMaxCapacity,BAU,RD,Techs_Auto,,,,2048,,,,,,30.4642
