PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2018,,,,,,53.09
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2019,,,,,,52.69
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2020,,,,,,21.63
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2021,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2022,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2023,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2024,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2025,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2026,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2027,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2028,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2029,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2030,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2031,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2032,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2033,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2034,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2035,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2036,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2037,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2038,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2039,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2040,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2041,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2042,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2043,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2044,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2045,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2046,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,DIST_CRU,,,,2047,,,,,,51.22
