PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,BAU,,,,,,2018,Some,,,,,1
Yearsplit,BAU,,,,,,2019,Some,,,,,1
Yearsplit,BAU,,,,,,2020,Some,,,,,1
Yearsplit,BAU,,,,,,2021,Some,,,,,1
Yearsplit,BAU,,,,,,2022,Some,,,,,1
Yearsplit,BAU,,,,,,2023,Some,,,,,1
Yearsplit,BAU,,,,,,2024,Some,,,,,1
Yearsplit,BAU,,,,,,2025,Some,,,,,1
Yearsplit,BAU,,,,,,2026,Some,,,,,1
Yearsplit,BAU,,,,,,2027,Some,,,,,1
Yearsplit,BAU,,,,,,2028,Some,,,,,1
Yearsplit,BAU,,,,,,2029,Some,,,,,1
Yearsplit,BAU,,,,,,2030,Some,,,,,1
Yearsplit,BAU,,,,,,2031,Some,,,,,1
Yearsplit,BAU,,,,,,2032,Some,,,,,1
Yearsplit,BAU,,,,,,2033,Some,,,,,1
Yearsplit,BAU,,,,,,2034,Some,,,,,1
Yearsplit,BAU,,,,,,2035,Some,,,,,1
Yearsplit,BAU,,,,,,2036,Some,,,,,1
Yearsplit,BAU,,,,,,2037,Some,,,,,1
Yearsplit,BAU,,,,,,2038,Some,,,,,1
Yearsplit,BAU,,,,,,2039,Some,,,,,1
Yearsplit,BAU,,,,,,2040,Some,,,,,1
Yearsplit,BAU,,,,,,2041,Some,,,,,1
Yearsplit,BAU,,,,,,2042,Some,,,,,1
Yearsplit,BAU,,,,,,2043,Some,,,,,1
Yearsplit,BAU,,,,,,2044,Some,,,,,1
Yearsplit,BAU,,,,,,2045,Some,,,,,1
Yearsplit,BAU,,,,,,2046,Some,,,,,1
Yearsplit,BAU,,,,,,2047,Some,,,,,1
Yearsplit,BAU,,,,,,2048,Some,,,,,1
Yearsplit,BAU,,,,,,2049,Some,,,,,1
Yearsplit,BAU,,,,,,2050,Some,,,,,1
