PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,LTS,CR,DIST_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPWNDOFF,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPPVTHYD,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,PPPVDS,,,,,,,,,,31.356
CapacityToActivityUnit,LTS,CR,DIST_FIR,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_BIM,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,DIST_BGS,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,IMPRIC,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,IMPBAN,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,IMPSGC,,,,,,,,,,1.0
CapacityToActivityUnit,LTS,CR,IMPCOC,,,,,,,,,,1.0
