PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,LTS,RD,PPHDAM,,,1,2018,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2019,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2020,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2021,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2022,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2023,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2024,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2025,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2026,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2027,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2028,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2029,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2030,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2031,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2032,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2033,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2034,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2035,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2036,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2037,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2038,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2039,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,1,2040,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2041,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2042,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2043,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2044,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2045,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2046,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2047,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2048,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2049,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,1,2050,,,,,,2887.188
CapitalCost,LTS,RD,PPHROR,,,1,2018,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2019,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2020,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2021,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2022,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2023,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2024,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2025,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2026,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2027,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2028,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2029,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2030,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2031,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2032,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2033,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2034,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2035,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2036,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2037,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,1,2038,,,,,,8461.0499
