PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,LTS,CR,,,Health,,2018,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2019,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2020,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2021,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2022,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2023,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2024,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2025,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2026,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2027,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2028,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2029,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2030,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2031,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2032,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2033,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2034,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2035,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2036,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2037,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2038,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2039,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2040,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2041,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2042,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2043,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2044,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2045,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2046,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2047,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2048,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2049,,,,,,1000
EmissionsPenalty,LTS,CR,,,Health,,2050,,,,,,1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2018,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2019,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2020,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2021,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2022,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2023,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2024,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2025,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2026,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2027,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2028,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2029,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2030,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2031,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2032,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2033,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2034,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2035,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2036,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2037,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2038,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2039,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2040,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2041,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2042,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2043,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2044,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2045,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2046,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2047,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2048,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2049,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHAB,,2050,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2018,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2019,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2020,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2021,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2022,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2023,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2024,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2025,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2026,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2027,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2028,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2029,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2030,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2031,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2032,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2033,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2034,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2035,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2036,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2037,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2038,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2039,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2040,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2041,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2042,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2043,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2044,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2045,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2046,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2047,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2048,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2049,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONTUR,,2050,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2018,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2019,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2020,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2021,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2022,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2023,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2024,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2025,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2026,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2027,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2028,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2029,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2030,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2031,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2032,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2033,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2034,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2035,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2036,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2037,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2038,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2039,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2040,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2041,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2042,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2043,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2044,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2045,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2046,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2047,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2048,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2049,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONVAR,,2050,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2018,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2019,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2020,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2021,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2022,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2023,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2024,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2025,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2026,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2027,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2028,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2029,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2030,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2031,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2032,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2033,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2034,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2035,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2036,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2037,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2038,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2039,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2040,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2041,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2042,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2043,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2044,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2045,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2046,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2047,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2048,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2049,,,,,,-1000
EmissionsPenalty,LTS,CR,,,CONHICK,,2050,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2018,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2019,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2020,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2021,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2022,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2023,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2024,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2025,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2026,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2027,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2028,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2029,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2030,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2031,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2032,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2033,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2034,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2035,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2036,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2037,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2038,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2039,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2040,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2041,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2042,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2043,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2044,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2045,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2046,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2047,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2048,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2049,,,,,,-1000
EmissionsPenalty,LTS,CR,,,RESHID,,2050,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2018,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2019,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2020,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2021,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2022,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2023,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2024,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2025,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2026,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2027,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2028,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2029,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2030,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2031,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2032,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2033,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2034,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2035,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2036,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2037,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2038,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2039,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2040,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2041,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2042,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2043,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2044,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2045,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2046,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2047,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2048,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2049,,,,,,-1000
EmissionsPenalty,LTS,CR,,,DAPANI,,2050,,,,,,-1000
