PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,LTS,JAM,PPHDAM,,,,2021,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2022,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2023,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2024,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2025,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2026,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2027,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2028,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2029,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2030,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2031,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2032,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2033,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2034,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2035,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2036,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2037,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2038,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2039,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2040,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2041,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2042,,,,,,85.0
FixedCost,LTS,JAM,PPHDAM,,,,2043,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2044,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2045,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2046,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2047,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2048,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2049,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2050,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2051,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2052,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2053,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2054,,,,,,82.0
FixedCost,LTS,JAM,PPHDAM,,,,2055,,,,,,82.0
FixedCost,LTS,JAM,PPHROR,,,,2021,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2022,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2023,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2024,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2025,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2026,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2027,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2028,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2029,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2030,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2031,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2032,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2033,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2034,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2035,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2036,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2037,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2038,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2039,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2040,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2041,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2042,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2043,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2044,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2045,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2046,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2047,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2048,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2049,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2050,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2051,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2052,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2053,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2054,,,,,,120.0
FixedCost,LTS,JAM,PPHROR,,,,2055,,,,,,120.0
FixedCost,LTS,JAM,PPGEO,,,,2021,,,,,,113.6218
FixedCost,LTS,JAM,PPGEO,,,,2022,,,,,,113.6218
FixedCost,LTS,JAM,PPGEO,,,,2023,,,,,,113.6218
FixedCost,LTS,JAM,PPGEO,,,,2024,,,,,,113.6218
FixedCost,LTS,JAM,PPGEO,,,,2025,,,,,,112.9034
FixedCost,LTS,JAM,PPGEO,,,,2026,,,,,,112.185
FixedCost,LTS,JAM,PPGEO,,,,2027,,,,,,111.4666
FixedCost,LTS,JAM,PPGEO,,,,2028,,,,,,110.7481
FixedCost,LTS,JAM,PPGEO,,,,2029,,,,,,110.0297
FixedCost,LTS,JAM,PPGEO,,,,2030,,,,,,109.3113
FixedCost,LTS,JAM,PPGEO,,,,2031,,,,,,108.5929
