PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTS,CR,DIST_CRU,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_NGS,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_DSL,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_GSL,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_LPG,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_FOI,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_COK,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_KER,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_COA,,,,,,,,,,1.0
OperationalLife,LTS,CR,IMP_ELE,,,,,,,,,,1.0
OperationalLife,LTS,CR,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,LTS,CR,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,LTS,CR,PPHDAM,,,,,,,,,,50.0
OperationalLife,LTS,CR,PPHROR,,,,,,,,,,30.0
OperationalLife,LTS,CR,PPGEO,,,,,,,,,,50.0
OperationalLife,LTS,CR,PPWNDON,,,,,,,,,,20.0
OperationalLife,LTS,CR,PPWNDOFF,,,,,,,,,,20.0
OperationalLife,LTS,CR,PPPVT,,,,,,,,,,20.0
OperationalLife,LTS,CR,PPPVTHYD,,,,,,,,,,20.0
OperationalLife,LTS,CR,PPPVTS,,,,,,,,,,20.0
OperationalLife,LTS,CR,PPPVD,,,,,,,,,,25.0
OperationalLife,LTS,CR,PPPVDS,,,,,,,,,,15.0
OperationalLife,LTS,CR,DIST_FIR,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_BIM,,,,,,,,,,1.0
OperationalLife,LTS,CR,DIST_BGS,,,,,,,,,,1.0
OperationalLife,LTS,CR,SOIALL,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPRIC,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPBAN,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPSGC,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPCOC,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPTRVEG,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPCAF,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPLEG,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPROT,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPFRT,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPCER,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPOTP,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPLEC,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPCARAVI,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPCARBOV,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPCARPOR,,,,,,,,,,100.0
OperationalLife,LTS,CR,IMPOTRCAR,,,,,,,,,,100.0
OperationalLife,LTS,CR,INORG_RCY_OS,,,,,,,,,,100.0
OperationalLife,LTS,CR,AD,,,,,,,,,,20.0
OperationalLife,LTS,CR,COMPOST,,,,,,,,,,20.0
