PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2021,,,,,,0.169247
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2022,,,,,,0.16497
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2023,,,,,,0.185133
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2024,,,,,,0.1854190976767866
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2025,,,,,,0.18570519535357324
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2026,,,,,,0.18595916046176642
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2027,,,,,,0.1862131255699596
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2028,,,,,,0.18646709067815279
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2029,,,,,,0.18672105578634599
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2030,,,,,,0.18697502089453924
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2031,,,,,,0.18725815724345105
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2032,,,,,,0.18754129359236285
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2033,,,,,,0.18782442994127466
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2034,,,,,,0.18810756629018646
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2035,,,,,,0.18839070263909824
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2036,,,,,,0.1887368410361031
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2037,,,,,,0.189082979433108
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2038,,,,,,0.1894291178301129
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2039,,,,,,0.18977525622711783
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2040,,,,,,0.1901213946241227
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2041,,,,,,0.1905294360538141
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2042,,,,,,0.19093747748350548
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2043,,,,,,0.19134551891319687
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2044,,,,,,0.19175356034288824
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2045,,,,,,0.1921616017725796
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2046,,,,,,0.1926144654950611
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2047,,,,,,0.19306732921754255
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2048,,,,,,0.19352019294002404
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2049,,,,,,0.19397305666250556
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2050,,,,,,0.19442592038498696
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2051,,,,,,0.1948798413963242
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2052,,,,,,0.19533482216494136
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2053,,,,,,0.1957908651650255
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2054,,,,,,0.1962479728765401
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2055,,,,,,0.19670614778523857
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2021,,,,,,0.02444
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2022,,,,,,0.151528
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2023,,,,,,0.143585
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2024,,,,,,0.14380689093744176
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2025,,,,,,0.14402878187488355
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2026,,,,,,0.1442257515132512
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2027,,,,,,0.14442272115161886
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2028,,,,,,0.14461969078998652
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2029,,,,,,0.14481666042835417
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2030,,,,,,0.14501363006672188
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2031,,,,,,0.1452332242647228
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2032,,,,,,0.1454528184627237
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2033,,,,,,0.1456724126607246
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2034,,,,,,0.1458920068587255
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2035,,,,,,0.14611160105672638
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2036,,,,,,0.14638005822932093
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2037,,,,,,0.14664851540191548
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2038,,,,,,0.14691697257451003
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2039,,,,,,0.1471854297471046
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2040,,,,,,0.14745388691969916
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2041,,,,,,0.1477703546952024
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2042,,,,,,0.1480868224707056
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2043,,,,,,0.1484032902462088
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2044,,,,,,0.148719758021712
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2045,,,,,,0.1490362257972152
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2046,,,,,,0.14938745673709358
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2047,,,,,,0.14973868767697196
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2048,,,,,,0.15008991861685034
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2049,,,,,,0.15044114955672874
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2050,,,,,,0.15079238049660706
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2051,,,,,,0.15114443144599404
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2052,,,,,,0.151497304319344
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2053,,,,,,0.15185100103558088
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2054,,,,,,0.1522055235181087
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2055,,,,,,0.15256087369482202
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2021,,,,,,1.91854
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2022,,,,,,2.26681
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2023,,,,,,2.36457
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2024,,,,,,2.368224118842126
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2025,,,,,,2.3718782376842524
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2026,,,,,,2.3751219504522645
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2027,,,,,,2.3783656632202765
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2028,,,,,,2.3816093759882886
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2029,,,,,,2.3848530887563006
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2030,,,,,,2.3880968015243136
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2031,,,,,,2.3917130974658605
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2032,,,,,,2.3953293934074074
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2033,,,,,,2.398945689348954
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2034,,,,,,2.4025619852905007
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2035,,,,,,2.406178281232047
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2036,,,,,,2.410599256797753
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2037,,,,,,2.4150202323634593
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2038,,,,,,2.4194412079291654
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2039,,,,,,2.4238621834948715
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2040,,,,,,2.4282831590605776
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2041,,,,,,2.4334947773209925
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2042,,,,,,2.438706395581407
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2043,,,,,,2.4439180138418215
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2044,,,,,,2.449129632102236
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2045,,,,,,2.4543412503626505
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2046,,,,,,2.4601253513725627
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2047,,,,,,2.4659094523824745
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2048,,,,,,2.4716935533923867
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2049,,,,,,2.477477654402299
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2050,,,,,,2.4832617554122103
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2051,,,,,,2.489059360408498
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2052,,,,,,2.4948705009185588
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2053,,,,,,2.5006952085433958
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2054,,,,,,2.5065335149577903
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2055,,,,,,2.5123854519104736
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2021,,,,,,4.7908800000000005
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2022,,,,,,5.03604
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2023,,,,,,5.12282954410031
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2024,,,,,,5.211557901568932
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2025,,,,,,5.302314458103244
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2026,,,,,,5.378105697791574
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2027,,,,,,5.455187808964745
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2028,,,,,,5.533614360387659
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2029,,,,,,5.613438398712502
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2030,,,,,,5.694713805971806
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2031,,,,,,5.76413808990498
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2032,,,,,,5.834517735690186
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2033,,,,,,5.905886367386485
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2034,,,,,,5.9782775046303955
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2035,,,,,,6.0517244582133465
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2036,,,,,,6.126241534023822
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2037,,,,,,6.201874573558492
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2038,,,,,,6.278656887608788
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2039,,,,,,6.356389805171134
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2040,,,,,,6.435085095193214
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2041,,,,,,6.514754672328181
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2042,,,,,,6.595410598738559
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2043,,,,,,6.677065085922493
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2044,,,,,,6.759730496562586
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2045,,,,,,6.843419346397649
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2046,,,,,,6.928144306117607
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2047,,,,,,7.013918203281875
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2048,,,,,,7.100754024261478
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2049,,,,,,7.188664916205221
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2050,,,,,,7.277664189030197
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2051,,,,,,7.36776531743694
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2052,,,,,,7.458981942949527
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2053,,,,,,7.551327875980937
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2054,,,,,,7.64481709792398
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2055,,,,,,7.739463763268112
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2021,,,,,,1.2831
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2022,,,,,,1.2831
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2023,,,,,,0.923832
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2024,,,,,,0.923832
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2025,,,,,,0.923832
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2026,,,,,,0.923832
SpecifiedAnnualDemand,LTS,JAM,,E5COMFIR,,,2027,,,,,,0.923832
