PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2021,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2022,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2023,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2024,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2025,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2026,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2027,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2028,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2029,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2030,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2031,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2032,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2033,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2034,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2035,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2036,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2037,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2038,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2039,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2040,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2041,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2042,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2043,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2044,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2045,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2046,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2047,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2048,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2049,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2050,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2051,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2052,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2053,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2054,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHDAM,,,,2055,,,,,,0.4884
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2023,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2024,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2025,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2026,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2027,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2028,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2029,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2030,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2031,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2032,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2033,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2034,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2035,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2036,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2037,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2038,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2039,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2040,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2041,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2042,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2043,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2044,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2045,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2046,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2047,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2048,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2049,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2050,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2051,,,,,,0.3812
TotalTechnologyAnnualActivityLowerLimit,LTS,JAM,PPHROR,,,,2052,,,,,,0.3812
