PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2018,,,,,,53.09
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2019,,,,,,52.69
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2020,,,,,,21.63
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2021,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2022,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2023,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2024,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2025,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2026,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2027,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2028,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2029,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2030,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2031,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2032,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2033,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2034,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2035,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2036,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2037,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2038,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2039,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2040,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2041,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2042,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2043,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2044,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2045,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2046,,,,,,51.22
TotalTechnologyAnnualActivityUpperLimit,LTS,RD,DIST_CRU,,,1,2047,,,,,,51.22
