PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,LTS,,,,,,2018,Some,,,,,1
Yearsplit,LTS,,,,,,2019,Some,,,,,1
Yearsplit,LTS,,,,,,2020,Some,,,,,1
Yearsplit,LTS,,,,,,2021,Some,,,,,1
Yearsplit,LTS,,,,,,2022,Some,,,,,1
Yearsplit,LTS,,,,,,2023,Some,,,,,1
Yearsplit,LTS,,,,,,2024,Some,,,,,1
Yearsplit,LTS,,,,,,2025,Some,,,,,1
Yearsplit,LTS,,,,,,2026,Some,,,,,1
Yearsplit,LTS,,,,,,2027,Some,,,,,1
Yearsplit,LTS,,,,,,2028,Some,,,,,1
Yearsplit,LTS,,,,,,2029,Some,,,,,1
Yearsplit,LTS,,,,,,2030,Some,,,,,1
Yearsplit,LTS,,,,,,2031,Some,,,,,1
Yearsplit,LTS,,,,,,2032,Some,,,,,1
Yearsplit,LTS,,,,,,2033,Some,,,,,1
Yearsplit,LTS,,,,,,2034,Some,,,,,1
Yearsplit,LTS,,,,,,2035,Some,,,,,1
Yearsplit,LTS,,,,,,2036,Some,,,,,1
Yearsplit,LTS,,,,,,2037,Some,,,,,1
Yearsplit,LTS,,,,,,2038,Some,,,,,1
Yearsplit,LTS,,,,,,2039,Some,,,,,1
Yearsplit,LTS,,,,,,2040,Some,,,,,1
Yearsplit,LTS,,,,,,2041,Some,,,,,1
Yearsplit,LTS,,,,,,2042,Some,,,,,1
Yearsplit,LTS,,,,,,2043,Some,,,,,1
Yearsplit,LTS,,,,,,2044,Some,,,,,1
Yearsplit,LTS,,,,,,2045,Some,,,,,1
Yearsplit,LTS,,,,,,2046,Some,,,,,1
Yearsplit,LTS,,,,,,2047,Some,,,,,1
Yearsplit,LTS,,,,,,2048,Some,,,,,1
Yearsplit,LTS,,,,,,2049,Some,,,,,1
Yearsplit,LTS,,,,,,2050,Some,,,,,1
