PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2018,,,,,,6.6094
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2019,,,,,,6.9587
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2020,,,,,,6.4332
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2021,,,,,,7.2629
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2022,,,,,,7.7268
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2023,,,,,,7.8409
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2024,,,,,,8.0936
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2025,,,,,,8.3465
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2026,,,,,,8.585
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2027,,,,,,8.8265
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2028,,,,,,9.0822
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2029,,,,,,9.3279
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2030,,,,,,9.5721
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2031,,,,,,9.7932
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2032,,,,,,10.0181
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2033,,,,,,10.2468
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2034,,,,,,10.4795
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2035,,,,,,10.7162
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2036,,,,,,10.9156
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2037,,,,,,11.1179
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2038,,,,,,11.3229
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2039,,,,,,11.5309
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2040,,,,,,11.7416
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2041,,,,,,11.9128
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2042,,,,,,12.0858
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2043,,,,,,12.2607
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2044,,,,,,12.4375
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2045,,,,,,12.6162
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2046,,,,,,12.7549
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2047,,,,,,12.8948
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2048,,,,,,13.0358
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2049,,,,,,13.178
TotalAnnualMaxCapacity,LTS,RD,Techs_Auto,,,,2050,,,,,,13.3214
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2018,,,,,,1.572
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2019,,,,,,1.6563
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2020,,,,,,1.5312
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2021,,,,,,1.7287
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2022,,,,,,1.8391
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2023,,,,,,1.8662
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2024,,,,,,1.9264
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2025,,,,,,1.9866
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2026,,,,,,2.0433
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2027,,,,,,2.1008
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2028,,,,,,2.1617
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2029,,,,,,2.2202
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2030,,,,,,2.2783
TotalAnnualMaxCapacity,LTS,RD,Techs_Taxi,,,,2031,,,,,,2.3309
