PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2018,,,,,,4.8415
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2019,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2020,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2021,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2022,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2023,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2024,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2025,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2026,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2027,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2028,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2029,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2030,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2031,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2032,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2033,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2034,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2035,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2036,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2037,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2038,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2039,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2040,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2041,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2042,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2043,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2044,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2045,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2046,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2047,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2048,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2049,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2050,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2018,,,,,,9.6011
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2019,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2020,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2021,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2022,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2023,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2024,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2025,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2026,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2027,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2028,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2029,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2030,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2031,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2032,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2033,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2034,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2035,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2036,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2037,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2038,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2039,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2040,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2041,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2042,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2043,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2044,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2045,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2046,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2047,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2048,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2049,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2050,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2018,,,,,,3.2712
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2019,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2020,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2021,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2022,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2023,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2024,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2025,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2026,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2027,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2028,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2029,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2030,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2031,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2032,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2033,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2034,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2035,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2036,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2037,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2038,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2039,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2040,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2041,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2042,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2043,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2044,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2045,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2046,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2047,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2048,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2049,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Motos,,,,2050,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2018,,,,,,0.4351
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2019,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2020,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2021,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2022,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2023,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2024,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2025,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2026,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2027,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2028,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2029,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2030,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2031,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2032,,,,,,
TotalAnnualMaxCapacity,NDP,CR,Techs_Buses,,,,2033,,,,,,
