PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2018,,,,,,4.8415
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2019,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2020,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2021,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2022,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2023,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2024,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2025,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2026,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2027,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2028,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2029,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2030,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2031,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2032,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2033,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2034,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2035,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2036,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2037,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2038,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2039,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2040,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2041,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2042,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2043,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2044,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2045,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2046,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2047,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2048,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2049,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_SUVMIV,,,,2050,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2018,,,,,,9.6011
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2019,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2020,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2021,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2022,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2023,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2024,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2025,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2026,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2027,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2028,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2029,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2030,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2031,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2032,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2033,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2034,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2035,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2036,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2037,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2038,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2039,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2040,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2041,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2042,,,,,,
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,Techs_Sedan,,,,2043,,,,,,
