PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2023,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2024,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2025,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2026,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2027,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2028,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2029,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2030,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2031,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2032,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2033,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2034,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2035,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2036,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2037,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2038,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2039,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2040,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2041,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2042,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2043,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2044,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2045,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2046,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2047,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2048,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2049,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2050,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2051,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2052,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2053,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2054,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_DSL,,,,2055,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2021,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2022,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2023,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2024,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2025,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2026,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2027,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2028,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2029,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2030,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2031,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2032,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2033,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2034,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2035,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2036,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2037,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2038,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2039,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2040,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2041,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2042,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2043,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2044,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2045,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2046,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2047,,,,,,1.0
AvailabilityFactor,BAU,JAM,DIST_GSL,,,,2048,,,,,,1.0
