PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,RD,REF_DSL,,,,2018,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2019,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2020,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2021,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2022,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2023,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2024,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2025,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2026,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2027,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2028,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2029,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2030,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2031,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2032,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2033,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2034,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2035,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2036,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2037,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2038,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2039,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2040,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2041,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2042,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2043,P1,,,,,1.0
CapacityFactor,BAU,RD,REF_DSL,,,,2044,P1,,,,,1.0
