PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,RD,PPHDAM,,,,2018,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2019,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2020,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2021,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2022,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2023,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2024,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2025,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2026,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2027,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2028,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2029,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2030,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2031,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2032,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2033,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2034,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2035,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2036,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2037,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2038,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2039,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2040,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2041,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2042,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2043,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2044,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2045,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2046,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2047,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2048,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2049,,,,,,85.0
FixedCost,BAU,RD,PPHDAM,,,,2050,,,,,,85.0
FixedCost,BAU,RD,PPHROR,,,,2018,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2019,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2020,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2021,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2022,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2023,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2024,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2025,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2026,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2027,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2028,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2029,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2030,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2031,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2032,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2033,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2034,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2035,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2036,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2037,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2038,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2039,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2040,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2041,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2042,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2043,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2044,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2045,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2046,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2047,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2048,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2049,,,,,,50.0
FixedCost,BAU,RD,PPHROR,,,,2050,,,,,,50.0
FixedCost,BAU,RD,PPGEO,,,,2018,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2019,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2020,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2021,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2022,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2023,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2024,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2025,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2026,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2027,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2028,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2029,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2030,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2031,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2032,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2033,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2034,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2035,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2036,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2037,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2038,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2039,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2040,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2041,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2042,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2043,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2044,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2045,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2046,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2047,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2048,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2049,,,,,,120.0
FixedCost,BAU,RD,PPGEO,,,,2050,,,,,,120.0
FixedCost,BAU,RD,PPWNDON,,,,2018,,,,,,26.7217
FixedCost,BAU,RD,PPWNDON,,,,2019,,,,,,26.7217
FixedCost,BAU,RD,PPWNDON,,,,2020,,,,,,26.47
FixedCost,BAU,RD,PPWNDON,,,,2021,,,,,,26.2183
FixedCost,BAU,RD,PPWNDON,,,,2022,,,,,,25.9666
FixedCost,BAU,RD,PPWNDON,,,,2023,,,,,,25.715
FixedCost,BAU,RD,PPWNDON,,,,2024,,,,,,25.4633
FixedCost,BAU,RD,PPWNDON,,,,2025,,,,,,61.4633
FixedCost,BAU,RD,PPWNDON,,,,2026,,,,,,60.2116
FixedCost,BAU,RD,PPWNDON,,,,2027,,,,,,58.9599
FixedCost,BAU,RD,PPWNDON,,,,2028,,,,,,56.7082
FixedCost,BAU,RD,PPWNDON,,,,2029,,,,,,55.4566
FixedCost,BAU,RD,PPWNDON,,,,2030,,,,,,54.2049
FixedCost,BAU,RD,PPWNDON,,,,2031,,,,,,54.0233
FixedCost,BAU,RD,PPWNDON,,,,2032,,,,,,52.8418
FixedCost,BAU,RD,PPWNDON,,,,2033,,,,,,52.6603
FixedCost,BAU,RD,PPWNDON,,,,2034,,,,,,51.4787
FixedCost,BAU,RD,PPWNDON,,,,2035,,,,,,51.2972
FixedCost,BAU,RD,PPWNDON,,,,2036,,,,,,50.1157
FixedCost,BAU,RD,PPWNDON,,,,2037,,,,,,49.9341
FixedCost,BAU,RD,PPWNDON,,,,2038,,,,,,48.7526
FixedCost,BAU,RD,PPWNDON,,,,2039,,,,,,48.571
FixedCost,BAU,RD,PPWNDON,,,,2040,,,,,,47.3895
FixedCost,BAU,RD,PPWNDON,,,,2041,,,,,,47.208
FixedCost,BAU,RD,PPWNDON,,,,2042,,,,,,47.0264
FixedCost,BAU,RD,PPWNDON,,,,2043,,,,,,45.8449
FixedCost,BAU,RD,PPWNDON,,,,2044,,,,,,45.6634
FixedCost,BAU,RD,PPWNDON,,,,2045,,,,,,44.4818
FixedCost,BAU,RD,PPWNDON,,,,2046,,,,,,44.3003
FixedCost,BAU,RD,PPWNDON,,,,2047,,,,,,43.1188
FixedCost,BAU,RD,PPWNDON,,,,2048,,,,,,42.9372
FixedCost,BAU,RD,PPWNDON,,,,2049,,,,,,41.7557
FixedCost,BAU,RD,PPWNDON,,,,2050,,,,,,41.5741
FixedCost,BAU,RD,PPPVT,,,,2018,,,,,,16.8714
FixedCost,BAU,RD,PPPVT,,,,2019,,,,,,16.8714
FixedCost,BAU,RD,PPPVT,,,,2020,,,,,,15.33
FixedCost,BAU,RD,PPPVT,,,,2021,,,,,,14.8788
FixedCost,BAU,RD,PPPVT,,,,2022,,,,,,14.4333
FixedCost,BAU,RD,PPPVT,,,,2023,,,,,,13.9893
FixedCost,BAU,RD,PPPVT,,,,2024,,,,,,13.5466
