PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,JAM,PPHDAM,,,,2021,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2022,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2023,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2024,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2025,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2026,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2027,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2028,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2029,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2030,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2031,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2032,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2033,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2034,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2035,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2036,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2037,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2038,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2039,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2040,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2041,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2042,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2043,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2044,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2045,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2046,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2047,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2048,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2049,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2050,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2051,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2052,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2053,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2054,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHDAM,,,,2055,,,,,,0.0291
ResidualCapacity,BAU,JAM,PPHROR,,,,2021,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2022,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2023,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2024,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2025,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2026,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2027,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2028,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2029,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2030,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2031,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2032,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2033,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2034,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2035,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2036,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2037,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2038,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2039,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2040,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2041,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2042,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2043,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2044,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2045,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2046,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2047,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2048,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2049,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2050,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2051,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2052,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2053,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2054,,,,,,0.0
ResidualCapacity,BAU,JAM,PPHROR,,,,2055,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2021,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2022,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2023,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2024,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2025,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2026,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2027,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2028,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2029,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2030,,,,,,0.0
ResidualCapacity,BAU,JAM,PPGEO,,,,2031,,,,,,0.0
