PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2021,,,,,,1.0447
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2022,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2023,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2024,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2025,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2026,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2027,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2028,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2029,,,,,,1.0764
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2030,,,,,,1.0848
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2031,,,,,,1.0932
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2032,,,,,,1.1016
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2033,,,,,,1.1101
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2034,,,,,,1.1185
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2035,,,,,,1.1269
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2036,,,,,,1.1353
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2037,,,,,,1.1437
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2038,,,,,,1.1521
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2039,,,,,,1.1605
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2040,,,,,,1.1689
TotalTechnologyAnnualActivityUpperLimit,BAU,JAM,PPWNDON,,,,2041,,,,,,1.1774
