PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,JAM,DIST_DSL,,,1,2021,,,,,,17.0794
VariableCost,BAU,JAM,DIST_DSL,,,1,2022,,,,,,17.4774
VariableCost,BAU,JAM,DIST_DSL,,,1,2023,,,,,,17.7333
VariableCost,BAU,JAM,DIST_DSL,,,1,2024,,,,,,17.8945
VariableCost,BAU,JAM,DIST_DSL,,,1,2025,,,,,,17.9703
VariableCost,BAU,JAM,DIST_DSL,,,1,2026,,,,,,17.9513
VariableCost,BAU,JAM,DIST_DSL,,,1,2027,,,,,,18.084
VariableCost,BAU,JAM,DIST_DSL,,,1,2028,,,,,,18.2357
VariableCost,BAU,JAM,DIST_DSL,,,1,2029,,,,,,18.5105
VariableCost,BAU,JAM,DIST_DSL,,,1,2030,,,,,,18.6527
VariableCost,BAU,JAM,DIST_DSL,,,1,2031,,,,,,18.8802
VariableCost,BAU,JAM,DIST_DSL,,,1,2032,,,,,,19.0603
VariableCost,BAU,JAM,DIST_DSL,,,1,2033,,,,,,19.2877
VariableCost,BAU,JAM,DIST_DSL,,,1,2034,,,,,,19.5247
VariableCost,BAU,JAM,DIST_DSL,,,1,2035,,,,,,19.6384
VariableCost,BAU,JAM,DIST_DSL,,,1,2036,,,,,,19.7616
VariableCost,BAU,JAM,DIST_DSL,,,1,2037,,,,,,20.1787
VariableCost,BAU,JAM,DIST_DSL,,,1,2038,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2039,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2040,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2041,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2042,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2043,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2044,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2045,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2046,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2047,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2048,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2049,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2050,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2051,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2052,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2053,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2054,,,,,,20.2355
VariableCost,BAU,JAM,DIST_DSL,,,1,2055,,,,,,20.2355
VariableCost,BAU,JAM,DIST_GSL,,,1,2021,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2022,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2023,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2024,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2025,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2026,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2027,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2028,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2029,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2030,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2031,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2032,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2033,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2034,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2035,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2036,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2037,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2038,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2039,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2040,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2041,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2042,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2043,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2044,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2045,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2046,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2047,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2048,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2049,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2050,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2051,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2052,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2053,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2054,,,,,,31.5867
VariableCost,BAU,JAM,DIST_GSL,,,1,2055,,,,,,31.5867
VariableCost,BAU,JAM,DIST_NGS,,,1,2021,,,,,,7.0564
VariableCost,BAU,JAM,DIST_NGS,,,1,2022,,,,,,7.0682
VariableCost,BAU,JAM,DIST_NGS,,,1,2023,,,,,,6.9853
VariableCost,BAU,JAM,DIST_NGS,,,1,2024,,,,,,7.0801
VariableCost,BAU,JAM,DIST_NGS,,,1,2025,,,,,,6.9971
VariableCost,BAU,JAM,DIST_NGS,,,1,2026,,,,,,7.0919
VariableCost,BAU,JAM,DIST_NGS,,,1,2027,,,,,,7.1867
VariableCost,BAU,JAM,DIST_NGS,,,1,2028,,,,,,7.2815
VariableCost,BAU,JAM,DIST_NGS,,,1,2029,,,,,,7.3763
VariableCost,BAU,JAM,DIST_NGS,,,1,2030,,,,,,7.471
VariableCost,BAU,JAM,DIST_NGS,,,1,2031,,,,,,7.5658
VariableCost,BAU,JAM,DIST_NGS,,,1,2032,,,,,,7.6606
VariableCost,BAU,JAM,DIST_NGS,,,1,2033,,,,,,7.7554
VariableCost,BAU,JAM,DIST_NGS,,,1,2034,,,,,,7.8502
VariableCost,BAU,JAM,DIST_NGS,,,1,2035,,,,,,7.9449
VariableCost,BAU,JAM,DIST_NGS,,,1,2036,,,,,,8.0397
VariableCost,BAU,JAM,DIST_NGS,,,1,2037,,,,,,8.1345
VariableCost,BAU,JAM,DIST_NGS,,,1,2038,,,,,,8.2293
VariableCost,BAU,JAM,DIST_NGS,,,1,2039,,,,,,8.3241
VariableCost,BAU,JAM,DIST_NGS,,,1,2040,,,,,,8.4188
VariableCost,BAU,JAM,DIST_NGS,,,1,2041,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2042,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2043,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2044,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2045,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2046,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2047,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2048,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2049,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2050,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2051,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2052,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2053,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2054,,,,,,8.5136
VariableCost,BAU,JAM,DIST_NGS,,,1,2055,,,,,,8.5136
VariableCost,BAU,JAM,DIST_LPG,,,1,2021,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2022,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2023,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2024,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2025,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2026,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2027,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2028,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2029,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2030,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2031,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2032,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2033,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2034,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2035,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2036,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2037,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2038,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2039,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2040,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2041,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2042,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2043,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2044,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2045,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2046,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2047,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2048,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2049,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2050,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2051,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2052,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2053,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2054,,,,,,22.8327
VariableCost,BAU,JAM,DIST_LPG,,,1,2055,,,,,,22.8327
VariableCost,BAU,JAM,DIST_COK,,,1,2021,,,,,,4.6239
VariableCost,BAU,JAM,DIST_COK,,,1,2022,,,,,,4.693
VariableCost,BAU,JAM,DIST_COK,,,1,2023,,,,,,4.762
VariableCost,BAU,JAM,DIST_COK,,,1,2024,,,,,,4.8718
VariableCost,BAU,JAM,DIST_COK,,,1,2025,,,,,,4.9815
VariableCost,BAU,JAM,DIST_COK,,,1,2026,,,,,,5.0912
VariableCost,BAU,JAM,DIST_COK,,,1,2027,,,,,,5.2009
VariableCost,BAU,JAM,DIST_COK,,,1,2028,,,,,,5.3107
VariableCost,BAU,JAM,DIST_COK,,,1,2029,,,,,,5.4204
VariableCost,BAU,JAM,DIST_COK,,,1,2030,,,,,,5.4326
VariableCost,BAU,JAM,DIST_COK,,,1,2031,,,,,,5.5568
VariableCost,BAU,JAM,DIST_COK,,,1,2032,,,,,,5.681
VariableCost,BAU,JAM,DIST_COK,,,1,2033,,,,,,5.8051
VariableCost,BAU,JAM,DIST_COK,,,1,2034,,,,,,5.9293
