PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,BAU,,,,,,2018,P1,,,,,1
YearSplit,BAU,,,,,,2019,P1,,,,,1
YearSplit,BAU,,,,,,2020,P1,,,,,1
YearSplit,BAU,,,,,,2021,P1,,,,,1
YearSplit,BAU,,,,,,2022,P1,,,,,1
YearSplit,BAU,,,,,,2023,P1,,,,,1
YearSplit,BAU,,,,,,2024,P1,,,,,1
YearSplit,BAU,,,,,,2025,P1,,,,,1
YearSplit,BAU,,,,,,2026,P1,,,,,1
YearSplit,BAU,,,,,,2027,P1,,,,,1
YearSplit,BAU,,,,,,2028,P1,,,,,1
YearSplit,BAU,,,,,,2029,P1,,,,,1
YearSplit,BAU,,,,,,2030,P1,,,,,1
YearSplit,BAU,,,,,,2031,P1,,,,,1
YearSplit,BAU,,,,,,2032,P1,,,,,1
YearSplit,BAU,,,,,,2033,P1,,,,,1
YearSplit,BAU,,,,,,2034,P1,,,,,1
YearSplit,BAU,,,,,,2035,P1,,,,,1
YearSplit,BAU,,,,,,2036,P1,,,,,1
YearSplit,BAU,,,,,,2037,P1,,,,,1
YearSplit,BAU,,,,,,2038,P1,,,,,1
YearSplit,BAU,,,,,,2039,P1,,,,,1
YearSplit,BAU,,,,,,2040,P1,,,,,1
YearSplit,BAU,,,,,,2041,P1,,,,,1
YearSplit,BAU,,,,,,2042,P1,,,,,1
YearSplit,BAU,,,,,,2043,P1,,,,,1
YearSplit,BAU,,,,,,2044,P1,,,,,1
YearSplit,BAU,,,,,,2045,P1,,,,,1
YearSplit,BAU,,,,,,2046,P1,,,,,1
YearSplit,BAU,,,,,,2047,P1,,,,,1
YearSplit,BAU,,,,,,2048,P1,,,,,1
YearSplit,BAU,,,,,,2049,P1,,,,,1
YearSplit,BAU,,,,,,2050,P1,,,,,1
YearSplit,BAU,,,,,,2018,P2,,,,,1
YearSplit,BAU,,,,,,2019,P2,,,,,1
YearSplit,BAU,,,,,,2020,P2,,,,,1
YearSplit,BAU,,,,,,2021,P2,,,,,1
YearSplit,BAU,,,,,,2022,P2,,,,,1
YearSplit,BAU,,,,,,2023,P2,,,,,1
YearSplit,BAU,,,,,,2024,P2,,,,,1
YearSplit,BAU,,,,,,2025,P2,,,,,1
YearSplit,BAU,,,,,,2026,P2,,,,,1
YearSplit,BAU,,,,,,2027,P2,,,,,1
YearSplit,BAU,,,,,,2028,P2,,,,,1
YearSplit,BAU,,,,,,2029,P2,,,,,1
YearSplit,BAU,,,,,,2030,P2,,,,,1
YearSplit,BAU,,,,,,2031,P2,,,,,1
YearSplit,BAU,,,,,,2032,P2,,,,,1
YearSplit,BAU,,,,,,2033,P2,,,,,1
YearSplit,BAU,,,,,,2034,P2,,,,,1
YearSplit,BAU,,,,,,2035,P2,,,,,1
YearSplit,BAU,,,,,,2036,P2,,,,,1
YearSplit,BAU,,,,,,2037,P2,,,,,1
YearSplit,BAU,,,,,,2038,P2,,,,,1
YearSplit,BAU,,,,,,2039,P2,,,,,1
YearSplit,BAU,,,,,,2040,P2,,,,,1
YearSplit,BAU,,,,,,2041,P2,,,,,1
YearSplit,BAU,,,,,,2042,P2,,,,,1
YearSplit,BAU,,,,,,2043,P2,,,,,1
YearSplit,BAU,,,,,,2044,P2,,,,,1
YearSplit,BAU,,,,,,2045,P2,,,,,1
YearSplit,BAU,,,,,,2046,P2,,,,,1
YearSplit,BAU,,,,,,2047,P2,,,,,1
YearSplit,BAU,,,,,,2048,P2,,,,,1
YearSplit,BAU,,,,,,2049,P2,,,,,1
YearSplit,BAU,,,,,,2050,P2,,,,,1
