PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,LTS,RD,PPHDAM,,,,2018,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2019,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2020,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2021,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2022,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2023,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2024,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2025,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2026,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2027,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2028,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2029,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2030,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2031,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2032,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2033,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2034,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2035,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2036,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2037,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2038,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2039,,,,,,3007.7097
CapitalCost,LTS,RD,PPHDAM,,,,2040,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2041,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2042,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2043,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2044,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2045,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2046,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2047,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2048,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2049,,,,,,2887.188
CapitalCost,LTS,RD,PPHDAM,,,,2050,,,,,,2887.188
CapitalCost,LTS,RD,PPHROR,,,,2018,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2019,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2020,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2021,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2022,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2023,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2024,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2025,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2026,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2027,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2028,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2029,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2030,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2031,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2032,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2033,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2034,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2035,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2036,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2037,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2038,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2039,,,,,,8461.0499
CapitalCost,LTS,RD,PPHROR,,,,2040,,,,,,8461.0499
