PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,LTS,RD,,,Health,,2018,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2019,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2020,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2021,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2022,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2023,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2024,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2025,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2026,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2027,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2028,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2029,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2030,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2031,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2032,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2033,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2034,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2035,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2036,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2037,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2038,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2039,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2040,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2041,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2042,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2043,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2044,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2045,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2046,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2047,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2048,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2049,,,,,,1000
EmissionsPenalty,LTS,RD,,,Health,,2050,,,,,,1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2018,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2019,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2020,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2021,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2022,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2023,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2024,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2025,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2026,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2027,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2028,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2029,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2030,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2031,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2032,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2033,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2034,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2035,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2036,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2037,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2038,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2039,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2040,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2041,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2042,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2043,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2044,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2045,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2046,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2047,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2048,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2049,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONHAB,,2050,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONTUR,,2018,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONTUR,,2019,,,,,,-1000
EmissionsPenalty,LTS,RD,,,CONTUR,,2020,,,,,,-1000
