PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTS,JAM,DIST_DSL,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_GSL,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_NGS,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_LPG,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_COK,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_KER,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_JET,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_FIR,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_CHA,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_BIM,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_BGS,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_OPE,,,,,,,,,,1.0
OperationalLife,LTS,JAM,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_COA,,,,,,,,,,1.0
OperationalLife,LTS,JAM,DIST_FOI,,,,,,,,,,1.0
OperationalLife,LTS,JAM,PPHDAM,,,,,,,,,,50.0
OperationalLife,LTS,JAM,PPHROR,,,,,,,,,,50.0
OperationalLife,LTS,JAM,PPGEO,,,,,,,,,,30.0
OperationalLife,LTS,JAM,PPWNDON,,,,,,,,,,20.0
OperationalLife,LTS,JAM,PPWNDONS,,,,,,,,,,20.0
OperationalLife,LTS,JAM,PPWNDOFF,,,,,,,,,,30.0
OperationalLife,LTS,JAM,PPPVT,,,,,,,,,,20.0
OperationalLife,LTS,JAM,PPPVTS,,,,,,,,,,20.0
OperationalLife,LTS,JAM,PPPVD,,,,,,,,,,20.0
OperationalLife,LTS,JAM,PPPVDS,,,,,,,,,,20.0
OperationalLife,LTS,JAM,CCS_FLO,,,,,,,,,,1.0
OperationalLife,LTS,JAM,RAW_MAT_CLK,,,,,,,,,,1.0
OperationalLife,LTS,JAM,RAW_MAT_CEM,,,,,,,,,,1.0
OperationalLife,LTS,JAM,IMP_STOR,,,,,,,,,,1.0
OperationalLife,LTS,JAM,IMP_R32,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_R125,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_R134A,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_R143A,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_R227EA,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_R236FA,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_SUB32,,,,,,,,,,100.0
OperationalLife,LTS,JAM,IMP_SUB125,,,,,,,,,,100.0
