PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2021,,,,,,0.1692
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2022,,,,,,0.165
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2023,,,,,,0.1851
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2024,,,,,,0.1854
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2025,,,,,,0.1857
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2026,,,,,,0.186
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2027,,,,,,0.1862
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2028,,,,,,0.1865
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2029,,,,,,0.1867
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2030,,,,,,0.187
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2031,,,,,,0.1873
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2032,,,,,,0.1875
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2033,,,,,,0.1878
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2034,,,,,,0.1881
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2035,,,,,,0.1884
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2036,,,,,,0.1887
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2037,,,,,,0.1891
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2038,,,,,,0.1894
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2039,,,,,,0.1898
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2040,,,,,,0.1901
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2041,,,,,,0.1905
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2042,,,,,,0.1909
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2043,,,,,,0.1913
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2044,,,,,,0.1918
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2045,,,,,,0.1922
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2046,,,,,,0.1926
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2047,,,,,,0.1931
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2048,,,,,,0.1935
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2049,,,,,,0.194
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2050,,,,,,0.1944
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2051,,,,,,0.1949
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2052,,,,,,0.1953
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2053,,,,,,0.1958
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2054,,,,,,0.1963
SpecifiedAnnualDemand,LTS,JAM,,E5COMDSL,,,2055,,,,,,0.1967
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2021,,,,,,0.0244
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2022,,,,,,0.1515
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2023,,,,,,0.1436
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2024,,,,,,0.1438
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2025,,,,,,0.144
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2026,,,,,,0.1442
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2027,,,,,,0.1444
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2028,,,,,,0.1446
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2029,,,,,,0.1448
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2030,,,,,,0.145
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2031,,,,,,0.1452
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2032,,,,,,0.1455
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2033,,,,,,0.1457
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2034,,,,,,0.1459
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2035,,,,,,0.1461
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2036,,,,,,0.1464
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2037,,,,,,0.1466
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2038,,,,,,0.1469
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2039,,,,,,0.1472
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2040,,,,,,0.1475
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2041,,,,,,0.1478
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2042,,,,,,0.1481
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2043,,,,,,0.1484
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2044,,,,,,0.1487
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2045,,,,,,0.149
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2046,,,,,,0.1494
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2047,,,,,,0.1497
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2048,,,,,,0.1501
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2049,,,,,,0.1504
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2050,,,,,,0.1508
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2051,,,,,,0.1511
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2052,,,,,,0.1515
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2053,,,,,,0.1519
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2054,,,,,,0.1522
SpecifiedAnnualDemand,LTS,JAM,,E5COMGSL,,,2055,,,,,,0.1526
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2021,,,,,,1.9185
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2022,,,,,,2.2668
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2023,,,,,,2.3646
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2024,,,,,,2.3682
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2025,,,,,,2.3719
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2026,,,,,,2.3751
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2027,,,,,,2.3784
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2028,,,,,,2.3816
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2029,,,,,,2.3849
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2030,,,,,,2.3881
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2031,,,,,,2.3917
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2032,,,,,,2.3953
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2033,,,,,,2.3989
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2034,,,,,,2.4026
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2035,,,,,,2.4062
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2036,,,,,,2.4106
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2037,,,,,,2.415
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2038,,,,,,2.4194
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2039,,,,,,2.4239
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2040,,,,,,2.4283
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2041,,,,,,2.4335
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2042,,,,,,2.4387
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2043,,,,,,2.4439
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2044,,,,,,2.4491
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2045,,,,,,2.4543
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2046,,,,,,2.4601
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2047,,,,,,2.4659
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2048,,,,,,2.4717
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2049,,,,,,2.4775
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2050,,,,,,2.4833
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2051,,,,,,2.4891
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2052,,,,,,2.4949
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2053,,,,,,2.5007
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2054,,,,,,2.5066
SpecifiedAnnualDemand,LTS,JAM,,E5COMLPG,,,2055,,,,,,2.5124
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2021,,,,,,4.7909
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2022,,,,,,5.036
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2023,,,,,,5.1228
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2024,,,,,,5.2116
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2025,,,,,,5.3023
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2026,,,,,,5.3586
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2027,,,,,,5.4148
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2028,,,,,,5.4711
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2029,,,,,,5.5273
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2030,,,,,,5.5836
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2031,,,,,,5.6563
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2032,,,,,,5.729
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2033,,,,,,5.8017
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2034,,,,,,5.8744
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2035,,,,,,5.947
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2036,,,,,,6.0246
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2037,,,,,,6.1021
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2038,,,,,,6.1796
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2039,,,,,,6.2572
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2040,,,,,,6.3347
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2041,,,,,,6.4167
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2042,,,,,,6.4988
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2043,,,,,,6.5808
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2044,,,,,,6.6629
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2045,,,,,,6.7449
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2046,,,,,,6.8316
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2047,,,,,,6.9183
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2048,,,,,,7.005
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2049,,,,,,7.0917
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2050,,,,,,7.1785
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2051,,,,,,7.2721
SpecifiedAnnualDemand,LTS,JAM,,E5COMELE,,,2052,,,,,,7.3657
