PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2018,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2019,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2020,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2021,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2022,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2023,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2024,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2025,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2026,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2027,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2028,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2029,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2030,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2031,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2032,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2033,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2034,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2035,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2036,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2037,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2038,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2039,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2040,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2041,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2042,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2043,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2044,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2045,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2046,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2047,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2048,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2049,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2050,P1,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2018,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2019,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2020,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2021,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2022,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2023,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2024,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2025,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2026,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2027,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2028,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2029,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2030,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2031,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2032,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2033,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2034,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2035,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2036,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2037,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2038,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2039,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2040,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2041,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2042,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2043,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2044,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2045,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2046,P2,,,,,1
SpecifiedDemandProfile,LTS,RD,,E5COMDSL,,,2047,P2,,,,,1
