PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2021,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2022,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2023,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2024,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2025,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2026,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2027,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2028,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2029,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2030,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2031,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2032,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2033,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2034,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2035,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2036,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2037,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2038,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2039,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2040,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2041,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2042,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2043,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2044,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2045,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2046,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2047,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2048,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2049,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2050,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2051,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2052,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2053,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2054,,,,,,9999.0
TotalAnnualMaxCapacity,LTS,JAM,STOELE,,,,2055,,,,,,9999.0
