PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2018,,,,,,15.4447
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2019,,,,,,16.2621
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2020,,,,,,15.0342
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2021,,,,,,16.973
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2022,,,,,,18.0572
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2023,,,,,,18.3238
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2024,,,,,,18.9144
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2025,,,,,,19.5054
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2026,,,,,,20.0627
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2027,,,,,,20.6272
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2028,,,,,,21.2247
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2029,,,,,,21.7989
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2030,,,,,,22.3696
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2031,,,,,,22.8862
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2032,,,,,,23.4117
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2033,,,,,,23.9463
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2034,,,,,,24.4901
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2035,,,,,,25.0432
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2036,,,,,,25.5093
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2037,,,,,,25.982
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2038,,,,,,26.4612
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2039,,,,,,26.9471
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2040,,,,,,27.4397
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2041,,,,,,27.8396
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2042,,,,,,28.2439
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2043,,,,,,28.6527
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2044,,,,,,29.0659
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2045,,,,,,29.4835
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2046,,,,,,29.8077
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2047,,,,,,30.1346
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2048,,,,,,30.4642
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2049,,,,,,30.7965
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Auto,,,,2050,,,,,,31.1315
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Taxi,,,,2018,,,,,,0.7757
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Taxi,,,,2019,,,,,,0.8167
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,Techs_Taxi,,,,2020,,,,,,0.755
