PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTSNZ,RD,DIST_CRU,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_NGS,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_DSL,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_GSL,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_LPG,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_FOI,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_COK,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_KER,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_COA,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,IMP_ELE,,,,,,,,,,30.0
OperationalLife,LTSNZ,RD,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,PPHDAM,,,,,,,,,,30.0
OperationalLife,LTSNZ,RD,PPHROR,,,,,,,,,,30.0
OperationalLife,LTSNZ,RD,PPGEO,,,,,,,,,,50.0
OperationalLife,LTSNZ,RD,PPWNDON,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,PPWNDOFF,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,PPPVT,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,PPPVTHYD,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,PPPVTS,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,PPPVD,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,PPDHYD,,,,,,,,,,25.0
OperationalLife,LTSNZ,RD,DIST_FIR,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_BIM,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,DIST_BGS,,,,,,,,,,1.0
OperationalLife,LTSNZ,RD,SOIALL,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPRIC,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPBAN,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPSGC,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPCOC,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPTRVEG,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPCAF,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPLEG,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPROT,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPFRT,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPCER,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPOTP,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPLEC,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPCARAVI,,,,,,,,,,100.0
OperationalLife,LTSNZ,RD,IMPCARBOV,,,,,,,,,,100.0
