PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2018,,,,,,15.06
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2019,,,,,,15.06
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2020,,,,,,15.06
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2021,,,,,,15.06
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2022,,,,,,15.06
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2023,,,,,,15.06
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2024,,,,,,14.94
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2025,,,,,,14.82
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2026,,,,,,14.7
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2027,,,,,,14.58
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2028,,,,,,14.46
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2029,,,,,,14.34
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2030,,,,,,14.22
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2031,,,,,,14.2078
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2032,,,,,,14.1956
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2033,,,,,,14.1833
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2034,,,,,,14.1711
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2035,,,,,,14.1589
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2036,,,,,,14.1467
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2037,,,,,,14.1344
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2038,,,,,,14.1222
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2039,,,,,,14.11
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2040,,,,,,14.0978
VariableCost,LTSNZ,RD,DIST_CRU,,,1,2041,,,,,,14.0856
