PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,LTSNZ,,,,,,2018,All,,,,,1
YearSplit,LTSNZ,,,,,,2019,All,,,,,1
YearSplit,LTSNZ,,,,,,2020,All,,,,,1
YearSplit,LTSNZ,,,,,,2021,All,,,,,1
YearSplit,LTSNZ,,,,,,2022,All,,,,,1
YearSplit,LTSNZ,,,,,,2023,All,,,,,1
YearSplit,LTSNZ,,,,,,2024,All,,,,,1
YearSplit,LTSNZ,,,,,,2025,All,,,,,1
YearSplit,LTSNZ,,,,,,2026,All,,,,,1
YearSplit,LTSNZ,,,,,,2027,All,,,,,1
YearSplit,LTSNZ,,,,,,2028,All,,,,,1
YearSplit,LTSNZ,,,,,,2029,All,,,,,1
YearSplit,LTSNZ,,,,,,2030,All,,,,,1
YearSplit,LTSNZ,,,,,,2031,All,,,,,1
YearSplit,LTSNZ,,,,,,2032,All,,,,,1
YearSplit,LTSNZ,,,,,,2033,All,,,,,1
YearSplit,LTSNZ,,,,,,2034,All,,,,,1
YearSplit,LTSNZ,,,,,,2035,All,,,,,1
YearSplit,LTSNZ,,,,,,2036,All,,,,,1
YearSplit,LTSNZ,,,,,,2037,All,,,,,1
YearSplit,LTSNZ,,,,,,2038,All,,,,,1
YearSplit,LTSNZ,,,,,,2039,All,,,,,1
YearSplit,LTSNZ,,,,,,2040,All,,,,,1
YearSplit,LTSNZ,,,,,,2041,All,,,,,1
YearSplit,LTSNZ,,,,,,2042,All,,,,,1
YearSplit,LTSNZ,,,,,,2043,All,,,,,1
YearSplit,LTSNZ,,,,,,2044,All,,,,,1
YearSplit,LTSNZ,,,,,,2045,All,,,,,1
YearSplit,LTSNZ,,,,,,2046,All,,,,,1
YearSplit,LTSNZ,,,,,,2047,All,,,,,1
YearSplit,LTSNZ,,,,,,2048,All,,,,,1
YearSplit,LTSNZ,,,,,,2049,All,,,,,1
YearSplit,LTSNZ,,,,,,2050,All,,,,,1
