PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,NDP,CR,DIST_DSL,,,,2018,,,,,,2.2389
FixedCost,NDP,CR,DIST_DSL,,,,2019,,,,,,2.2528
FixedCost,NDP,CR,DIST_DSL,,,,2020,,,,,,2.4293
FixedCost,NDP,CR,DIST_DSL,,,,2021,,,,,,2.4755
FixedCost,NDP,CR,DIST_DSL,,,,2022,,,,,,2.5225
FixedCost,NDP,CR,DIST_DSL,,,,2023,,,,,,2.5704
FixedCost,NDP,CR,DIST_DSL,,,,2024,,,,,,2.6192
FixedCost,NDP,CR,DIST_DSL,,,,2025,,,,,,2.669
FixedCost,NDP,CR,DIST_DSL,,,,2026,,,,,,2.7197
FixedCost,NDP,CR,DIST_DSL,,,,2027,,,,,,2.7714
FixedCost,NDP,CR,DIST_DSL,,,,2028,,,,,,2.8241
FixedCost,NDP,CR,DIST_DSL,,,,2029,,,,,,2.8778
FixedCost,NDP,CR,DIST_DSL,,,,2030,,,,,,2.9325
FixedCost,NDP,CR,DIST_DSL,,,,2031,,,,,,2.9882
FixedCost,NDP,CR,DIST_DSL,,,,2032,,,,,,3.045
FixedCost,NDP,CR,DIST_DSL,,,,2033,,,,,,3.1029
FixedCost,NDP,CR,DIST_DSL,,,,2034,,,,,,3.1619
FixedCost,NDP,CR,DIST_DSL,,,,2035,,,,,,3.222
FixedCost,NDP,CR,DIST_DSL,,,,2036,,,,,,3.2832
FixedCost,NDP,CR,DIST_DSL,,,,2037,,,,,,3.3456
FixedCost,NDP,CR,DIST_DSL,,,,2038,,,,,,3.4092
FixedCost,NDP,CR,DIST_DSL,,,,2039,,,,,,3.474
FixedCost,NDP,CR,DIST_DSL,,,,2040,,,,,,3.54
FixedCost,NDP,CR,DIST_DSL,,,,2041,,,,,,3.6073
FixedCost,NDP,CR,DIST_DSL,,,,2042,,,,,,3.6758
FixedCost,NDP,CR,DIST_DSL,,,,2043,,,,,,3.7456
FixedCost,NDP,CR,DIST_DSL,,,,2044,,,,,,3.8168
FixedCost,NDP,CR,DIST_DSL,,,,2045,,,,,,3.8893
FixedCost,NDP,CR,DIST_DSL,,,,2046,,,,,,3.9632
FixedCost,NDP,CR,DIST_DSL,,,,2047,,,,,,4.0385
FixedCost,NDP,CR,DIST_DSL,,,,2048,,,,,,4.1152
FixedCost,NDP,CR,DIST_DSL,,,,2049,,,,,,4.1934
FixedCost,NDP,CR,DIST_DSL,,,,2050,,,,,,4.2731
FixedCost,NDP,CR,DIST_GSL,,,,2018,,,,,,2.6482
FixedCost,NDP,CR,DIST_GSL,,,,2019,,,,,,2.6593
FixedCost,NDP,CR,DIST_GSL,,,,2020,,,,,,2.8488
FixedCost,NDP,CR,DIST_GSL,,,,2021,,,,,,2.9029
FixedCost,NDP,CR,DIST_GSL,,,,2022,,,,,,2.9581
FixedCost,NDP,CR,DIST_GSL,,,,2023,,,,,,3.0143
FixedCost,NDP,CR,DIST_GSL,,,,2024,,,,,,3.0716
FixedCost,NDP,CR,DIST_GSL,,,,2025,,,,,,3.13
FixedCost,NDP,CR,DIST_GSL,,,,2026,,,,,,3.1895
FixedCost,NDP,CR,DIST_GSL,,,,2027,,,,,,3.2501
FixedCost,NDP,CR,DIST_GSL,,,,2028,,,,,,3.3119
FixedCost,NDP,CR,DIST_GSL,,,,2029,,,,,,3.3748
FixedCost,NDP,CR,DIST_GSL,,,,2030,,,,,,3.4389
FixedCost,NDP,CR,DIST_GSL,,,,2031,,,,,,3.5042
FixedCost,NDP,CR,DIST_GSL,,,,2032,,,,,,3.5708
FixedCost,NDP,CR,DIST_GSL,,,,2033,,,,,,3.6386
FixedCost,NDP,CR,DIST_GSL,,,,2034,,,,,,3.7077
FixedCost,NDP,CR,DIST_GSL,,,,2035,,,,,,3.7781
FixedCost,NDP,CR,DIST_GSL,,,,2036,,,,,,3.8499
FixedCost,NDP,CR,DIST_GSL,,,,2037,,,,,,3.923
FixedCost,NDP,CR,DIST_GSL,,,,2038,,,,,,3.9975
FixedCost,NDP,CR,DIST_GSL,,,,2039,,,,,,4.0735
FixedCost,NDP,CR,DIST_GSL,,,,2040,,,,,,4.1509
FixedCost,NDP,CR,DIST_GSL,,,,2041,,,,,,4.2298
FixedCost,NDP,CR,DIST_GSL,,,,2042,,,,,,4.3102
FixedCost,NDP,CR,DIST_GSL,,,,2043,,,,,,4.3921
FixedCost,NDP,CR,DIST_GSL,,,,2044,,,,,,4.4755
FixedCost,NDP,CR,DIST_GSL,,,,2045,,,,,,4.5605
FixedCost,NDP,CR,DIST_GSL,,,,2046,,,,,,4.6471
