PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2018,,,,,,0.4342
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2019,,,,,,0.4213
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2020,,,,,,0.3177
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2021,,,,,,0.3672
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2022,,,,,,0.4216
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2023,,,,,,0.4096
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2024,,,,,,0.3964
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2025,,,,,,0.3823
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2026,,,,,,0.326
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2027,,,,,,0.3128
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2028,,,,,,0.2991
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2029,,,,,,0.2849
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2030,,,,,,0.2708
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2031,,,,,,0.2569
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2032,,,,,,0.2436
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2033,,,,,,0.2305
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2034,,,,,,0.2168
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2035,,,,,,0.2002
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2036,,,,,,0.1781
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2037,,,,,,0.1477
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2038,,,,,,0.1075
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2039,,,,,,0.0578
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSDSL,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2023,,,,,,0.0033
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2024,,,,,,0.0047
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2025,,,,,,0.0069
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2026,,,,,,0.0088
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2027,,,,,,0.0128
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2028,,,,,,0.0185
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2029,,,,,,0.0266
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2030,,,,,,0.0384
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2031,,,,,,0.0552
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2032,,,,,,0.0793
