Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2021,FixedOpex2021,VarOpex2021,Opex2021,Externalities2021,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,E1BM,DIST_BM,,2018,,,,,,18.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2018,,,,,,18.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2019,,,,,,19.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2019,,,,,,19.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2020,,,,,,19.3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2020,,,,,,19.3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2021,,,,,,19.6633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2021,,,,,,19.6633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2022,,,,,,19.9681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2022,,,,,,19.9681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2023,,,,,,20.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2023,,,,,,20.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2024,,,,,,20.6032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2024,,,,,,20.6032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2025,,,,,,20.9208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2025,,,,,,20.9208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2026,,,,,,21.2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2026,,,,,,21.2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2027,,,,,,21.5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2027,,,,,,21.5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2028,,,,,,21.8608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2028,,,,,,21.8608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2029,,,,,,22.1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2029,,,,,,22.1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2030,,,,,,22.4832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2030,,,,,,22.4832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2031,,,,,,22.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2031,,,,,,22.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2032,,,,,,23.1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2032,,,,,,23.1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2033,,,,,,23.4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2033,,,,,,23.4232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2034,,,,,,23.7407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2034,,,,,,23.7407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2035,,,,,,24.0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2035,,,,,,24.0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2036,,,,,,24.3758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2036,,,,,,24.3758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2037,,,,,,24.6807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2037,,,,,,24.6807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2038,,,,,,24.9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2038,,,,,,24.9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2039,,,,,,25.3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2039,,,,,,25.3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2040,,,,,,25.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2040,,,,,,25.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2041,,,,,,25.9382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2041,,,,,,25.9382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2042,,,,,,26.2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2042,,,,,,26.2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2043,,,,,,26.5607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2043,,,,,,26.5607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2044,,,,,,26.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2044,,,,,,26.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2045,,,,,,27.1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2045,,,,,,27.1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2046,,,,,,27.5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDP,0,E1BM,DIST_BM,,2046,,,,,,27.5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E1BM,DIST_BM,,2047,,,,,,27.8055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
