PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2018,,,,,,4.8899
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2019,,,,,,4.9934
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2020,,,,,,4.9934
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2021,,,,,,4.9934
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2022,,,,,,4.9966
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2023,,,,,,5.1338
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2024,,,,,,5.2749
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2025,,,,,,5.4192
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2026,,,,,,5.5666
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2027,,,,,,5.7173
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2028,,,,,,5.8714
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2029,,,,,,6.0288
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2030,,,,,,6.1897
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2031,,,,,,6.3539
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2032,,,,,,6.5218
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2033,,,,,,6.6931
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2034,,,,,,6.8681
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2035,,,,,,7.0467
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2036,,,,,,7.2291
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2037,,,,,,7.4151
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2038,,,,,,7.605
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2039,,,,,,7.7987
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2040,,,,,,7.9963
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2041,,,,,,8.1979
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2042,,,,,,8.4034
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2043,,,,,,8.6129
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2044,,,,,,8.8266
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2045,,,,,,9.0442
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2046,,,,,,9.2662
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2047,,,,,,9.4923
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2048,,,,,,9.7227
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2049,,,,,,9.9573
TotalAnnualMaxCapacity,BAU,CR,Techs_SUVMIV,,,,2050,,,,,,10.1963
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2018,,,,,,9.6971
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2019,,,,,,9.902
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2020,,,,,,9.902
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2021,,,,,,9.902
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2022,,,,,,9.9083
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2023,,,,,,10.1805
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2024,,,,,,10.4603
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2025,,,,,,10.7463
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2026,,,,,,11.0388
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2027,,,,,,11.3377
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2028,,,,,,11.6432
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2029,,,,,,11.9553
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2030,,,,,,12.2742
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2031,,,,,,12.6001
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2032,,,,,,12.9328
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2033,,,,,,13.2726
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2034,,,,,,13.6195
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2035,,,,,,13.9739
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2036,,,,,,14.3353
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2037,,,,,,14.7044
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2038,,,,,,15.0809
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2039,,,,,,15.465
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2040,,,,,,15.8569
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2041,,,,,,16.2566
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2042,,,,,,16.6641
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2043,,,,,,17.0797
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2044,,,,,,17.5033
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2045,,,,,,17.9351
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2046,,,,,,18.3751
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2047,,,,,,18.8236
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2048,,,,,,19.2803
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2049,,,,,,19.7456
TotalAnnualMaxCapacity,BAU,CR,Techs_Sedan,,,,2050,,,,,,20.2195
TotalAnnualMaxCapacity,BAU,CR,Techs_Motos,,,,2018,,,,,,3.3039
TotalAnnualMaxCapacity,BAU,CR,Techs_Motos,,,,2019,,,,,,3.3745
