PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,NDP,CR,DIST_LPG,,,,2018,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2019,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2020,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2021,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2022,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2023,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2024,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2025,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2026,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2027,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2028,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2029,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2030,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2031,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2032,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2033,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2034,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2035,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2036,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2037,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2038,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2039,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2040,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2041,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2042,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2043,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2044,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2045,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2046,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2047,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2048,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2049,,,,,,234.55
CapitalCost,NDP,CR,DIST_LPG,,,,2050,,,,,,234.55
CapitalCost,NDP,CR,PPHDAM,,,,2018,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2019,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2020,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2021,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2022,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2023,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2024,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2025,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2026,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2027,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2028,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2029,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2030,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2031,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2032,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2033,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2034,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2035,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2036,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2037,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2038,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2039,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2040,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2041,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2042,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2043,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2044,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2045,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2046,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2047,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2048,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2049,,,,,,5111.0
CapitalCost,NDP,CR,PPHDAM,,,,2050,,,,,,5111.0
CapitalCost,NDP,CR,PPHROR,,,,2018,,,,,,4385.15
CapitalCost,NDP,CR,PPHROR,,,,2019,,,,,,4385.15
CapitalCost,NDP,CR,PPHROR,,,,2020,,,,,,4385.15
CapitalCost,NDP,CR,PPHROR,,,,2021,,,,,,4385.15
CapitalCost,NDP,CR,PPHROR,,,,2022,,,,,,4385.15
CapitalCost,NDP,CR,PPHROR,,,,2023,,,,,,4385.15
CapitalCost,NDP,CR,PPHROR,,,,2024,,,,,,4385.15
