PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2018,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2019,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2020,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2021,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2022,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2023,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2024,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2025,,,,,,0.03
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2026,,,,,,0.0408
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2027,,,,,,0.0516
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2028,,,,,,0.0624
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2029,,,,,,0.0732
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2030,,,,,,0.084
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2031,,,,,,0.0948
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2032,,,,,,0.1056
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2033,,,,,,0.1164
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2034,,,,,,0.1272
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2035,,,,,,0.138
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2036,,,,,,0.1488
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2037,,,,,,0.1596
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2038,,,,,,0.1704
TotalAnnualMaxCapacity,NDP,CR,PPBIO,,,,2039,,,,,,0.1812
