PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2023,,,,,,0.0033
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2024,,,,,,0.0048
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2025,,,,,,0.0069
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2026,,,,,,0.0088
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2027,,,,,,0.0128
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2028,,,,,,0.0185
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2029,,,,,,0.0267
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2030,,,,,,0.0384
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2031,,,,,,0.0552
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2032,,,,,,0.0794
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2033,,,,,,0.1138
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2034,,,,,,0.1623
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2035,,,,,,0.2281
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2036,,,,,,0.3129
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2037,,,,,,0.4145
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2038,,,,,,0.5262
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2039,,,,,,0.6396
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2040,,,,,,0.7473
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2041,,,,,,0.8445
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2042,,,,,,0.9297
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2043,,,,,,1.0034
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2044,,,,,,1.0672
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2045,,,,,,1.123
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2046,,,,,,1.1726
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2047,,,,,,1.2177
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2048,,,,,,1.2595
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2049,,,,,,1.2991
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSELE,,,,2050,,,,,,1.3371
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2023,,,,,,0.0003
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2024,,,,,,0.0004
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2025,,,,,,0.0005
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2026,,,,,,0.0007
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2027,,,,,,0.001
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2028,,,,,,0.0015
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2029,,,,,,0.0023
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2030,,,,,,0.0034
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2031,,,,,,0.0049
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2032,,,,,,0.0073
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2033,,,,,,0.0107
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2034,,,,,,0.0158
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2035,,,,,,0.0228
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2036,,,,,,0.0322
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2037,,,,,,0.0439
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2038,,,,,,0.0571
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2039,,,,,,0.0709
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2040,,,,,,0.0843
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2041,,,,,,0.0965
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2042,,,,,,0.1073
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2043,,,,,,0.1166
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2044,,,,,,0.1246
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2045,,,,,,0.1315
TotalTechnologyAnnualActivityLowerLimit,NDP,CR,TRBUSHYD,,,,2046,,,,,,0.1376
