PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2018,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2019,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2020,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2021,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2022,,,,,,0.8889
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2023,,,,,,0.7778
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2024,,,,,,0.6667
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2025,,,,,,0.5556
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2026,,,,,,0.4444
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2027,,,,,,0.3333
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2028,,,,,,0.2222
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2029,,,,,,0.1111
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPFOI,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2018,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2019,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2020,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2021,,,,,,1.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2022,,,,,,0.8889
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2023,,,,,,0.7778
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2024,,,,,,0.6667
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2025,,,,,,0.5556
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2026,,,,,,0.4444
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2027,,,,,,0.3333
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2028,,,,,,0.2222
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2029,,,,,,0.1111
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,PPDSL,,,,2041,,,,,,0.0
