Strategy,Future.ID,Technology,Fuel,Fuel_Surname,Year,Age,Actor,Actor_Type,Owner,GorS,DAI,Customs,SC,VAT-Imports,Total Import Taxes,GE,Vehicle Purchase,Property Tax,IUC,VAT-Electricity,H2,VKT,Energy Sales and Purchases,Investments and FOM,Variable Costs,Service Sales,Service Purchases,Investments,FOM,DAI Disc,Customs Disc,SC Disc,VAT-Imports Disc,Total Import Taxes Disc,GE Disc,Vehicle Purchase Disc,Property Tax Disc,IUC Disc,VAT-Electricity Disc,H2 Disc,VKT Disc,Energy Sales and Purchases Disc,Investments and FOM Disc,Variable Costs Disc,Service Sales Disc,Service Purchases Disc,Investments Disc,FOM Disc,Energy Price,Energy Price wTax,Energy Tax,Service Price,U SC,U Total Import Taxes,U Market Price,U CIF,Q Imports,U VKT,Q Total,U Property Tax,FV,GDP
BAU,0,,,,2018,,bus_companies,Type_3,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.7258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.7258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,bus_companies,Type_3,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,28.83,0.0,0.0,0.0,78.7776,74.7415,0.0,0.0,0.0,0.0,74.7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,28.83,0.0,0.0,0.0,78.7776,74.7415,0.0,0.0,0.0,0.0,74.7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,central_government,Type_1,Other,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.5442,777.2097999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.5442,777.2097999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,central_government,Type_1,Other,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,electricity_companies,Type_2,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.8957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.8957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,electricity_companies,Type_2,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.6648,0.2465,0.0,0.0,56.895399999999995,351.7694000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.6648,0.2465,0.0,0.0,56.895399999999995,351.7694000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,heavy_freight_companies,Type_4,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5866,108.2017,0.0,0.0,0.0,295.6592,868.46,0.0,0.0,0.0,0.0,868.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5866,108.2017,0.0,0.0,0.0,295.6592,868.46,0.0,0.0,0.0,0.0,868.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,hydrocarbon_companies,Type_2,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.8886000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.8886000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,hydrocarbon_companies,Type_2,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.3653,1310.2841,0.0,0.0,0.0,241.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.3653,1310.2841,0.0,0.0,0.0,241.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,hydrogen_companies,Type_2,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
