PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,RD,DIST_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPWNDOFF,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPPVTHYD,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPPVDS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,DIST_FIR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_BIM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,DIST_BGS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPRIC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPBAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPSGC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPCOC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPTRVEG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPCAF,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPLEG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPROT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPFRT,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPCER,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPOTP,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPLEC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPCARAVI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPCARBOV,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPCARPOR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMPOTRCAR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,INORG_RCY_OS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,AD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,COMPOST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LANDFILL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,NO_CONTR_OD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,COPROC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,INCIN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,OPEN_BURN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,SIT_CLAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,AERO_PTAR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,AERO_PTAR_RU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,ANAE_LAGN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,ANAE_LAGN_RU,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,SEPT_SYST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LATR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,EFLT_DISC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,SEWER_NO_T,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,RAW_MAT_CLK,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,RAW_MAT_CEM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,IMP_STOR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,REF_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,REF_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,REF_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,REF_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,PPBIM,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPBGS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPCOA,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPCCTDSL,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPCCFOIDSL,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPCCTNGS,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPCCTNGSDSL,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPICEFOI,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,PPICEGASFOI,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,RD,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,HYD_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_FOR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_AGR,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_GAN,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_LATHUM,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_DCON,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_WET,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,LU_DRY,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,AG_RIC,,,,,,,,,,1.0
CapacityToActivityUnit,BAU,RD,AG_BAN,,,,,,,,,,1.0
