PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,BAU,RD,PPHDAM,,,,2018,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2019,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2020,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2021,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2022,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2023,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2024,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2025,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2026,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2027,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2028,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2029,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2030,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2031,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2032,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2033,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2034,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2035,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2036,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2037,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2038,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2039,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2040,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2041,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2042,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2043,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2044,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2045,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2046,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2047,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2048,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2049,,,,,,3360.0
CapitalCost,BAU,RD,PPHDAM,,,,2050,,,,,,3360.0
CapitalCost,BAU,RD,PPHROR,,,,2018,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2019,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2020,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2021,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2022,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2023,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2024,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2025,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2026,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2027,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2028,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2029,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2030,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2031,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2032,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2033,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2034,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2035,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2036,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2037,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2038,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2039,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2040,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2041,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2042,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2043,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2044,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2045,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2046,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2047,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2048,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2049,,,,,,3518.0
CapitalCost,BAU,RD,PPHROR,,,,2050,,,,,,3518.0
CapitalCost,BAU,RD,PPGEO,,,,2018,,,,,,4000.0
CapitalCost,BAU,RD,PPGEO,,,,2019,,,,,,4000.0
CapitalCost,BAU,RD,PPGEO,,,,2020,,,,,,4000.0
CapitalCost,BAU,RD,PPGEO,,,,2021,,,,,,4000.0
CapitalCost,BAU,RD,PPGEO,,,,2022,,,,,,4000.0
